Date,CERN
2003-12-04,5.1875
2003-12-05,5.2238
2003-12-08,4.675
2003-12-09,4.6788
2003-12-10,4.7488
2003-12-11,4.8213
2003-12-12,4.9025
2003-12-15,4.7013
2003-12-16,4.7163
2003-12-17,4.7413
2003-12-18,4.8313
2003-12-19,5.0488
2003-12-22,5.0138
2003-12-23,4.7075
2003-12-24,4.6738
2003-12-26,4.715
2003-12-29,4.7738
2003-12-30,4.8
2003-12-31,4.7313
2004-01-02,4.8137
2004-01-05,4.8
2004-01-06,4.8125
2004-01-07,4.865
2004-01-08,4.9175
2004-01-09,4.8238
2004-01-12,4.9375
2004-01-13,4.6887
2004-01-14,4.7813
2004-01-15,4.67
2004-01-16,4.8125
2004-01-20,4.9425
2004-01-21,4.87
2004-01-22,4.765
2004-01-23,4.7138
2004-01-26,4.8337
2004-01-27,4.975
2004-01-28,4.9387
2004-01-29,4.8725
2004-01-30,4.9
2004-02-02,4.9013
2004-02-03,4.9813
2004-02-04,4.8063
2004-02-05,5.6288
2004-02-06,5.7613
2004-02-09,5.6113
2004-02-10,5.635
2004-02-11,5.7
2004-02-12,5.5725
2004-02-13,5.5063
2004-02-17,5.6
2004-02-18,5.555
2004-02-19,5.4425
2004-02-20,5.4313
2004-02-23,5.3988
2004-02-24,5.4475
2004-02-25,5.5575
2004-02-26,5.5913
2004-02-27,5.595
2004-03-01,5.825
2004-03-02,5.9438
2004-03-03,5.875
2004-03-04,5.8438
2004-03-05,5.9538
2004-03-08,5.85
2004-03-09,5.7775
2004-03-10,5.6725
2004-03-11,5.5563
2004-03-12,5.6863
2004-03-15,5.4988
2004-03-16,5.3675
2004-03-17,5.4813
2004-03-18,5.395
2004-03-19,5.455
2004-03-22,5.4263
2004-03-23,5.365
2004-03-24,5.3838
2004-03-25,5.5225
2004-03-26,5.6538
2004-03-29,5.725
2004-03-30,5.7225
2004-03-31,5.6375
2004-04-01,5.5313
2004-04-02,5.6013
2004-04-05,5.5925
2004-04-06,5.5625
2004-04-07,5.4713
2004-04-08,5.635
2004-04-12,5.9063
2004-04-13,5.8188
2004-04-14,5.7712
2004-04-15,5.6688
2004-04-16,5.6313
2004-04-19,5.75
2004-04-20,5.7163
2004-04-21,5.715
2004-04-22,5.8038
2004-04-23,5.66
2004-04-26,5.6525
2004-04-27,5.655
2004-04-28,5.625
2004-04-29,5.4013
2004-04-30,5.3525
2004-05-03,5.3775
2004-05-04,5.3663
2004-05-05,5.3688
2004-05-06,5.255
2004-05-07,5.2625
2004-05-10,5.07
2004-05-11,5.1963
2004-05-12,5.0875
2004-05-13,5.25
2004-05-14,5.2438
2004-05-17,5.1163
2004-05-18,5.1663
2004-05-19,5.1313
2004-05-20,5.055
2004-05-21,4.9863
2004-05-24,5.07
2004-05-25,5.265
2004-05-26,5.2375
2004-05-27,5.3113
2004-05-28,5.3475
2004-06-01,5.3125
2004-06-02,5.39
2004-06-03,5.2475
2004-06-04,5.265
2004-06-07,5.3438
2004-06-08,5.3425
2004-06-09,5.3363
2004-06-10,5.3938
2004-06-14,5.3588
2004-06-15,5.4938
2004-06-16,5.5125
2004-06-17,5.5263
2004-06-18,5.5525
2004-06-21,5.5613
2004-06-22,5.6588
2004-06-23,5.6613
2004-06-24,5.625
2004-06-25,5.6288
2004-06-28,5.7188
2004-06-29,5.595
2004-06-30,5.5725
2004-07-01,5.415
2004-07-02,5.3425
2004-07-06,5.2888
2004-07-07,5.225
2004-07-08,5.1713
2004-07-09,5.3962
2004-07-12,5.41
2004-07-13,5.48
2004-07-14,5.4338
2004-07-15,5.455
2004-07-16,5.3975
2004-07-19,5.2825
2004-07-20,5.4838
2004-07-21,5.46
2004-07-22,5.625
2004-07-23,5.5325
2004-07-26,5.49
2004-07-27,5.7063
2004-07-28,5.5775
2004-07-29,5.5538
2004-07-30,5.625
2004-08-02,5.7175
2004-08-03,5.7013
2004-08-04,5.8825
2004-08-05,5.7113
2004-08-06,5.6175
2004-08-09,5.52
2004-08-10,5.575
2004-08-11,5.5425
2004-08-12,5.4125
2004-08-13,5.4438
2004-08-16,5.5438
2004-08-17,5.5637
2004-08-18,5.6875
2004-08-19,5.7013
2004-08-20,5.7563
2004-08-23,5.7575
2004-08-24,5.8038
2004-08-25,5.7675
2004-08-26,5.7263
2004-08-27,5.6525
2004-08-30,5.5363
2004-08-31,5.4763
2004-09-01,5.4775
2004-09-02,5.5488
2004-09-03,5.4913
2004-09-07,5.4963
2004-09-08,5.4813
2004-09-09,5.5313
2004-09-10,5.51
2004-09-13,5.5963
2004-09-14,5.7313
2004-09-15,5.6913
2004-09-16,5.715
2004-09-17,5.5988
2004-09-20,5.5938
2004-09-21,5.665
2004-09-22,5.5138
2004-09-23,5.4788
2004-09-24,5.3738
2004-09-27,5.3125
2004-09-28,5.335
2004-09-29,5.4175
2004-09-30,5.4075
2004-10-01,5.5763
2004-10-04,5.5863
2004-10-05,5.6625
2004-10-06,5.7638
2004-10-07,5.68
2004-10-08,5.6275
2004-10-11,5.6963
2004-10-12,5.7338
2004-10-13,5.6938
2004-10-14,5.7
2004-10-15,5.7575
2004-10-18,5.755
2004-10-19,5.6613
2004-10-20,5.7188
2004-10-21,5.4975
2004-10-22,5.5463
2004-10-25,5.5637
2004-10-26,5.5938
2004-10-27,5.68
2004-10-28,5.6563
2004-10-29,5.6438
2004-11-01,5.6813
2004-11-02,5.66
2004-11-03,5.7875
2004-11-04,5.8263
2004-11-05,5.85
2004-11-08,5.9375
2004-11-09,5.9575
2004-11-10,5.9488
2004-11-11,6.0825
2004-11-12,6.115
2004-11-15,6.345
2004-11-16,6.3962
2004-11-17,6.3375
2004-11-18,6.3463
2004-11-19,6.3525
2004-11-22,6.525
2004-11-23,6.675
2004-11-24,6.5938
2004-11-26,6.5813
2004-11-29,6.5863
2004-11-30,6.59
2004-12-01,6.6163
2004-12-02,6.5588
2004-12-03,6.4663
2004-12-06,6.4975
2004-12-07,6.45
2004-12-08,6.5212
2004-12-09,6.4488
2004-12-10,6.3962
2004-12-13,6.4938
2004-12-14,6.63
2004-12-15,6.6475
2004-12-16,6.6988
2004-12-17,6.595
2004-12-20,6.5225
2004-12-21,6.5663
2004-12-22,6.5813
2004-12-23,6.6125
2004-12-27,6.61
2004-12-28,6.6463
2004-12-29,6.61
2004-12-30,6.6125
2004-12-31,6.6463
2005-01-03,6.5513
2005-01-04,6.46
2005-01-05,6.3388
2005-01-06,6.2512
2005-01-07,6.15
2005-01-10,6.2
2005-01-11,6.0713
2005-01-12,6.0313
2005-01-13,5.9375
2005-01-14,6.095
2005-01-18,6.1438
2005-01-19,6.0913
2005-01-20,6.095
2005-01-21,6.055
2005-01-24,5.9438
2005-01-25,5.98
2005-01-26,6.0763
2005-01-27,6.0637
2005-01-28,6.1388
2005-01-31,6.2188
2005-02-01,6.285
2005-02-02,6.36
2005-02-03,6.305
2005-02-04,6.5838
2005-02-07,6.555
2005-02-08,6.525
2005-02-09,6.2988
2005-02-10,6.345
2005-02-11,6.4288
2005-02-14,6.4888
2005-02-15,6.5413
2005-02-16,6.4525
2005-02-17,6.4163
2005-02-18,6.32
2005-02-22,6.1838
2005-02-23,6.1788
2005-02-24,6.3775
2005-02-25,6.5125
2005-02-28,6.5125
2005-03-01,6.595
2005-03-02,6.6188
2005-03-03,6.5113
2005-03-04,6.625
2005-03-07,6.54
2005-03-08,6.4675
2005-03-09,6.3762
2005-03-10,6.425
2005-03-11,6.3337
2005-03-14,6.4375
2005-03-15,6.3213
2005-03-16,6.2588
2005-03-17,6.3263
2005-03-18,6.2363
2005-03-21,6.375
2005-03-22,6.5138
2005-03-23,6.485
2005-03-24,6.5888
2005-03-28,6.5813
2005-03-29,6.475
2005-03-30,6.6025
2005-03-31,6.5638
2005-04-01,6.4938
2005-04-04,6.5463
2005-04-05,6.7838
2005-04-06,7.1363
2005-04-07,7.0125
2005-04-08,6.9375
2005-04-11,7.1275
2005-04-12,7.2
2005-04-13,7.165
2005-04-14,7.0963
2005-04-15,7.0225
2005-04-18,6.8788
2005-04-19,7.1075
2005-04-20,7.0838
2005-04-21,7.3425
2005-04-22,7.4738
2005-04-25,7.4938
2005-04-26,7.2038
2005-04-27,7.3075
2005-04-28,7.1363
2005-04-29,7.2563
2005-05-02,7.385
2005-05-03,7.4675
2005-05-04,7.66
2005-05-05,7.855
2005-05-06,7.6838
2005-05-09,7.7925
2005-05-10,7.815
2005-05-11,7.8063
2005-05-12,7.7725
2005-05-13,7.7275
2005-05-16,7.75
2005-05-17,7.8413
2005-05-18,7.955
2005-05-19,8.0575
2005-05-20,7.9213
2005-05-23,8.175
2005-05-24,8.1225
2005-05-25,8.0138
2005-05-26,8.24
2005-05-27,8.225
2005-05-31,8.1688
2005-06-01,8.1063
2005-06-02,7.985
2005-06-03,7.8513
2005-06-06,7.9063
2005-06-07,7.8963
2005-06-08,7.8438
2005-06-09,7.925
2005-06-10,7.9575
2005-06-13,7.9475
2005-06-14,7.8175
2005-06-15,7.7688
2005-06-16,7.8975
2005-06-17,7.8513
2005-06-20,7.9388
2005-06-21,8.0525
2005-06-22,8.0088
2005-06-23,8.065
2005-06-24,8.0863
2005-06-27,8.1913
2005-06-28,8.3188
2005-06-29,8.42
2005-06-30,8.4963
2005-07-01,8.465
2005-07-05,8.7388
2005-07-06,8.7113
2005-07-07,8.6963
2005-07-08,8.7188
2005-07-11,8.78
2005-07-12,9.0263
2005-07-13,8.8438
2005-07-14,8.6563
2005-07-15,8.705
2005-07-18,8.7113
2005-07-19,8.92
2005-07-20,8.9388
2005-07-21,8.7113
2005-07-22,9.3763
2005-07-25,9.2538
2005-07-26,9.155
2005-07-27,9.32
2005-07-28,9.4425
2005-07-29,9.4275
2005-08-01,9.5763
2005-08-02,9.7575
2005-08-03,9.82
2005-08-04,9.7313
2005-08-05,9.65
2005-08-08,9.5925
2005-08-09,9.5938
2005-08-10,9.8063
2005-08-11,9.8963
2005-08-12,9.8188
2005-08-15,9.7
2005-08-16,9.58
2005-08-17,9.5925
2005-08-18,9.6338
2005-08-19,9.645
2005-08-22,9.84
2005-08-23,9.9375
2005-08-24,9.75
2005-08-25,9.8738
2005-08-26,9.7463
2005-08-29,9.7913
2005-08-30,9.6938
2005-08-31,9.845
2005-09-01,9.8225
2005-09-02,9.85
2005-09-06,10.3425
2005-09-07,10.5213
2005-09-08,10.375
2005-09-09,10.375
2005-09-12,10.5038
2005-09-13,10.5425
2005-09-14,10.5238
2005-09-15,10.3675
2005-09-16,10.2813
2005-09-19,10.3237
2005-09-20,10.3462
2005-09-21,10.2825
2005-09-22,10.1875
2005-09-23,10.1987
2005-09-26,10.0713
2005-09-27,10.3875
2005-09-28,10.6225
2005-09-29,10.85
2005-09-30,10.8663
2005-10-03,10.8237
2005-10-04,10.5938
2005-10-05,10.3513
2005-10-06,10.3338
2005-10-07,10.4563
2005-10-10,10.4888
2005-10-11,10.5375
2005-10-12,10.43
2005-10-13,10.5325
2005-10-14,10.8138
2005-10-17,10.8813
2005-10-18,11.0213
2005-10-19,11.0575
2005-10-20,10.8237
2005-10-21,10.7188
2005-10-24,10.725
2005-10-25,10.8888
2005-10-26,10.57
2005-10-27,10.3038
2005-10-28,10.43
2005-10-31,10.5563
2005-11-01,10.5737
2005-11-02,10.84
2005-11-03,11.0788
2005-11-04,11.015
2005-11-07,11.0025
2005-11-08,11.07
2005-11-09,11.1813
2005-11-10,11.1975
2005-11-11,11.1362
2005-11-14,11.125
2005-11-15,11.7963
2005-11-16,11.6013
2005-11-17,11.9363
2005-11-18,12.0
2005-11-21,11.8163
2005-11-22,12.055
2005-11-23,12.2638
2005-11-25,12.1413
2005-11-28,11.915
2005-11-29,11.95
2005-11-30,12.05
2005-12-01,12.1375
2005-12-02,12.0763
2005-12-05,11.9188
2005-12-06,11.9688
2005-12-07,11.7413
2005-12-08,11.89
2005-12-09,12.0138
2005-12-12,12.1013
2005-12-13,12.0525
2005-12-14,11.635
2005-12-15,10.4938
2005-12-16,10.835
2005-12-19,10.86
2005-12-20,11.0888
2005-12-21,11.3063
2005-12-22,11.3925
2005-12-23,11.7
2005-12-27,11.625
2005-12-28,11.585
2005-12-29,11.4163
2005-12-30,11.3638
2006-01-03,11.4963
2006-01-04,11.6075
2006-01-05,11.7
2006-01-06,11.7963
2006-01-09,12.2212
2006-01-10,12.05
2006-01-11,11.7575
2006-01-12,11.56
2006-01-13,11.5675
2006-01-17,11.405
2006-01-18,11.4525
2006-01-19,11.6875
2006-01-20,11.515
2006-01-23,11.45
2006-01-24,11.5
2006-01-25,11.185
2006-01-26,10.9825
2006-01-27,11.2
2006-01-30,11.135
2006-01-31,11.25
2006-02-01,11.8225
2006-02-02,12.0875
2006-02-03,11.0275
2006-02-06,11.25
2006-02-07,11.185
2006-02-08,11.0
2006-02-09,10.9175
2006-02-10,10.74
2006-02-13,10.81
2006-02-14,10.6375
2006-02-15,10.51
2006-02-16,10.75
2006-02-17,10.9075
2006-02-21,10.8375
2006-02-22,10.685
2006-02-23,10.4875
2006-02-24,10.45
2006-02-27,10.7325
2006-02-28,10.4075
2006-03-01,10.8175
2006-03-02,10.675
2006-03-03,11.0875
2006-03-06,11.0975
2006-03-07,10.88
2006-03-08,10.9875
2006-03-09,10.8775
2006-03-10,10.905
2006-03-13,11.0
2006-03-14,11.185
2006-03-15,11.49
2006-03-16,11.68
2006-03-17,11.7775
2006-03-20,11.7975
2006-03-21,11.69
2006-03-22,11.67
2006-03-23,11.645
2006-03-24,11.67
2006-03-27,11.6675
2006-03-28,11.6675
2006-03-29,11.78
2006-03-30,11.8025
2006-03-31,11.8625
2006-04-03,11.9
2006-04-04,11.775
2006-04-05,11.74
2006-04-06,11.745
2006-04-07,11.565
2006-04-10,11.49
2006-04-11,11.2525
2006-04-12,11.135
2006-04-13,11.4075
2006-04-17,11.5475
2006-04-18,11.74
2006-04-19,11.6875
2006-04-20,11.775
2006-04-21,10.645
2006-04-24,10.61
2006-04-25,10.21
2006-04-26,10.2325
2006-04-27,9.7925
2006-04-28,9.9125
2006-05-01,10.1575
2006-05-02,9.9775
2006-05-03,10.0725
2006-05-04,10.0875
2006-05-05,10.35
2006-05-08,10.3025
2006-05-09,10.1475
2006-05-10,9.9525
2006-05-11,9.3025
2006-05-12,9.275
2006-05-15,9.185
2006-05-16,9.3275
2006-05-17,9.22
2006-05-18,9.27
2006-05-19,9.3575
2006-05-22,9.305
2006-05-23,9.33
2006-05-24,8.745
2006-05-25,8.9125
2006-05-26,9.1525
2006-05-30,9.4375
2006-05-31,9.495
2006-06-01,9.85
2006-06-02,9.595
2006-06-05,9.3275
2006-06-06,9.2
2006-06-07,9.125
2006-06-08,9.12
2006-06-09,9.5175
2006-06-12,9.4125
2006-06-13,9.1725
2006-06-14,9.2125
2006-06-15,9.5575
2006-06-16,9.655
2006-06-19,9.435
2006-06-20,9.405
2006-06-21,9.5675
2006-06-22,9.3875
2006-06-23,9.52
2006-06-26,9.435
2006-06-27,9.3625
2006-06-28,9.1725
2006-06-29,9.3775
2006-06-30,9.2775
2006-07-03,9.25
2006-07-05,9.16
2006-07-06,9.71
2006-07-07,9.2475
2006-07-10,9.1875
2006-07-11,9.1525
2006-07-12,8.8525
2006-07-13,8.5875
2006-07-14,8.5
2006-07-17,8.605
2006-07-18,8.875
2006-07-19,8.9
2006-07-20,8.5675
2006-07-21,9.75
2006-07-24,9.5925
2006-07-25,9.6875
2006-07-26,9.62
2006-07-27,9.7025
2006-07-28,9.9325
2006-07-31,10.12
2006-08-01,10.105
2006-08-02,10.325
2006-08-03,10.515
2006-08-04,10.5
2006-08-07,10.47
2006-08-08,10.585
2006-08-09,10.8725
2006-08-10,10.9025
2006-08-11,10.96
2006-08-14,11.2075
2006-08-15,11.2975
2006-08-16,11.5725
2006-08-17,11.51
2006-08-18,11.5625
2006-08-21,11.315
2006-08-22,11.3225
2006-08-23,11.34
2006-08-24,11.1525
2006-08-25,11.23
2006-08-28,11.475
2006-08-29,11.535
2006-08-30,11.59
2006-08-31,11.515
2006-09-01,11.5975
2006-09-05,11.8075
2006-09-06,11.51
2006-09-07,11.2875
2006-09-08,11.2975
2006-09-11,11.32
2006-09-12,11.66
2006-09-13,11.935
2006-09-14,11.7375
2006-09-15,11.5825
2006-09-18,11.405
2006-09-19,11.6375
2006-09-20,11.665
2006-09-21,11.6
2006-09-22,11.4075
2006-09-25,11.5025
2006-09-26,11.475
2006-09-27,11.5675
2006-09-28,11.575
2006-09-29,11.35
2006-10-02,11.25
2006-10-03,11.27
2006-10-04,11.37
2006-10-05,11.5025
2006-10-06,11.615
2006-10-09,11.82
2006-10-10,11.65
2006-10-11,11.4775
2006-10-12,11.47
2006-10-13,11.6575
2006-10-16,11.55
2006-10-17,11.4775
2006-10-18,11.4025
2006-10-19,11.375
2006-10-20,11.7375
2006-10-23,11.6475
2006-10-24,11.69
2006-10-25,11.715
2006-10-26,11.8
2006-10-27,11.915
2006-10-30,12.0525
2006-10-31,12.0775
2006-11-01,12.0
2006-11-02,12.065
2006-11-03,12.2725
2006-11-06,12.2375
2006-11-07,12.5675
2006-11-08,12.4625
2006-11-09,12.3175
2006-11-10,12.2575
2006-11-13,12.405
2006-11-14,12.36
2006-11-15,12.4
2006-11-16,12.3
2006-11-17,12.2675
2006-11-20,12.1875
2006-11-21,12.2525
2006-11-22,12.245
2006-11-24,12.05
2006-11-27,11.895
2006-11-28,11.8575
2006-11-29,11.91
2006-11-30,12.005
2006-12-01,11.85
2006-12-04,12.09
2006-12-05,12.0375
2006-12-06,12.055
2006-12-07,11.9
2006-12-08,11.9175
2006-12-11,11.845
2006-12-12,11.9075
2006-12-13,11.9525
2006-12-14,12.0075
2006-12-15,12.0725
2006-12-18,11.97
2006-12-19,11.98
2006-12-20,11.8775
2006-12-21,11.685
2006-12-22,11.5075
2006-12-26,11.5575
2006-12-27,11.585
2006-12-28,11.6825
2006-12-29,11.375
2007-01-03,11.3
2007-01-04,11.625
2007-01-05,11.365
2007-01-08,11.325
2007-01-09,11.335
2007-01-10,11.215
2007-01-11,11.1725
2007-01-12,11.72
2007-01-16,11.5
2007-01-17,11.38
2007-01-18,11.5675
2007-01-19,11.505
2007-01-22,11.3225
2007-01-23,11.3975
2007-01-24,11.525
2007-01-25,11.5425
2007-01-26,11.6375
2007-01-29,11.285
2007-01-30,11.4025
2007-01-31,11.2325
2007-02-01,11.45
2007-02-02,12.6525
2007-02-05,12.5225
2007-02-06,12.32
2007-02-07,12.3725
2007-02-08,12.5325
2007-02-09,12.4625
2007-02-12,12.4925
2007-02-13,12.755
2007-02-14,12.7925
2007-02-15,13.105
2007-02-16,13.0675
2007-02-20,13.2875
2007-02-21,13.2425
2007-02-22,13.33
2007-02-23,13.5675
2007-02-26,13.485
2007-02-27,12.825
2007-02-28,13.0275
2007-03-01,13.0275
2007-03-02,12.6675
2007-03-05,12.7725
2007-03-06,13.03
2007-03-07,12.975
2007-03-08,13.24
2007-03-09,13.4525
2007-03-12,13.4425
2007-03-13,13.2675
2007-03-14,13.4125
2007-03-15,13.49
2007-03-16,13.91
2007-03-19,13.73
2007-03-20,13.75
2007-03-21,13.885
2007-03-22,13.8975
2007-03-23,13.91
2007-03-26,13.9675
2007-03-27,14.0025
2007-03-28,13.9175
2007-03-29,13.5875
2007-03-30,13.6125
2007-04-02,13.775
2007-04-03,13.9675
2007-04-04,14.075
2007-04-05,14.205
2007-04-09,14.02
2007-04-10,14.0675
2007-04-11,13.8875
2007-04-12,13.8525
2007-04-13,13.8575
2007-04-16,13.84
2007-04-17,13.75
2007-04-18,13.575
2007-04-19,13.63
2007-04-20,13.7725
2007-04-23,13.6375
2007-04-24,13.6525
2007-04-25,13.675
2007-04-26,13.745
2007-04-27,13.53
2007-04-30,13.31
2007-05-01,13.185
2007-05-02,13.4525
2007-05-03,13.4475
2007-05-04,13.445
2007-05-07,13.4975
2007-05-08,13.48
2007-05-09,13.6375
2007-05-10,13.2625
2007-05-11,13.525
2007-05-14,13.415
2007-05-15,13.295
2007-05-16,13.2975
2007-05-17,13.17
2007-05-18,13.49
2007-05-21,13.78
2007-05-22,14.7075
2007-05-23,14.6275
2007-05-24,14.2875
2007-05-25,14.3125
2007-05-29,14.18
2007-05-30,14.2775
2007-05-31,14.2025
2007-06-01,14.165
2007-06-04,14.1225
2007-06-05,14.0625
2007-06-06,13.8525
2007-06-07,13.8025
2007-06-08,13.88
2007-06-11,13.835
2007-06-12,13.7125
2007-06-13,13.7225
2007-06-14,13.8625
2007-06-15,13.9775
2007-06-18,14.08
2007-06-19,14.08
2007-06-20,14.08
2007-06-21,14.1025
2007-06-22,13.945
2007-06-25,14.0375
2007-06-26,13.9325
2007-06-27,13.97
2007-06-28,13.99
2007-06-29,13.8675
2007-07-02,14.1025
2007-07-03,14.24
2007-07-05,14.24
2007-07-06,14.5575
2007-07-09,14.59
2007-07-10,14.3275
2007-07-11,14.5
2007-07-12,14.585
2007-07-13,14.6275
2007-07-16,14.505
2007-07-17,14.51
2007-07-18,14.3875
2007-07-19,14.52
2007-07-20,14.5075
2007-07-23,14.58
2007-07-24,14.2875
2007-07-25,13.7
2007-07-26,13.3325
2007-07-27,13.3
2007-07-30,13.41
2007-07-31,13.2175
2007-08-01,13.545
2007-08-02,13.6575
2007-08-03,13.5625
2007-08-06,14.0075
2007-08-07,14.68
2007-08-08,15.6725
2007-08-09,15.5675
2007-08-10,14.6
2007-08-13,14.31
2007-08-14,14.11
2007-08-15,14.0675
2007-08-16,14.1475
2007-08-17,14.37
2007-08-20,14.43
2007-08-21,14.4025
2007-08-22,14.2475
2007-08-23,14.1625
2007-08-24,14.365
2007-08-27,14.1175
2007-08-28,13.86
2007-08-29,14.1375
2007-08-30,14.1075
2007-08-31,14.26
2007-09-04,14.295
2007-09-05,14.13
2007-09-06,14.33
2007-09-07,13.79
2007-09-10,13.7575
2007-09-11,14.025
2007-09-12,14.3
2007-09-13,14.465
2007-09-14,14.455
2007-09-17,14.2375
2007-09-18,14.4975
2007-09-19,14.6875
2007-09-20,14.7525
2007-09-21,15.025
2007-09-24,14.7425
2007-09-25,14.9975
2007-09-26,15.125
2007-09-27,14.9775
2007-09-28,14.9525
2007-10-01,15.205
2007-10-02,15.1175
2007-10-03,15.25
2007-10-04,15.3875
2007-10-05,15.3525
2007-10-08,15.44
2007-10-09,15.965
