KMX,Date
7.53125,1997-10-24
7.03125,1997-10-27
7.0,1997-10-28
7.3125,1997-10-29
6.90625,1997-10-30
6.9375,1997-10-31
7.09375,1997-11-03
7.125,1997-11-04
6.6875,1997-11-05
6.9375,1997-11-06
7.0,1997-11-07
7.0,1997-11-10
6.90625,1997-11-11
6.59375,1997-11-12
6.375,1997-11-13
6.3125,1997-11-14
6.59375,1997-11-17
6.5625,1997-11-18
6.4375,1997-11-19
6.625,1997-11-20
6.4375,1997-11-21
6.125,1997-11-24
5.875,1997-11-25
5.71875,1997-11-26
5.96875,1997-11-28
6.0,1997-12-01
5.875,1997-12-02
5.59375,1997-12-03
5.3125,1997-12-04
4.96875,1997-12-05
4.75,1997-12-08
4.53125,1997-12-09
4.46875,1997-12-10
4.5625,1997-12-11
4.9375,1997-12-12
4.71875,1997-12-15
4.78125,1997-12-16
4.625,1997-12-17
4.5,1997-12-18
4.4375,1997-12-19
4.625,1997-12-22
4.5,1997-12-23
4.5,1997-12-24
4.4375,1997-12-26
4.40625,1997-12-29
4.53125,1997-12-30
4.5,1997-12-31
4.78125,1998-01-02
4.6875,1998-01-05
4.625,1998-01-06
4.25,1998-01-07
3.90625,1998-01-08
3.78125,1998-01-09
3.96875,1998-01-12
3.875,1998-01-13
3.84375,1998-01-14
3.6875,1998-01-15
3.75,1998-01-16
3.6875,1998-01-20
3.5625,1998-01-21
3.46875,1998-01-22
3.40625,1998-01-23
3.5,1998-01-26
3.875,1998-01-27
4.0,1998-01-28
3.96875,1998-01-29
3.84375,1998-01-30
3.9375,1998-02-02
4.0,1998-02-03
4.0,1998-02-04
4.5625,1998-02-05
4.40625,1998-02-06
4.8125,1998-02-09
4.90625,1998-02-10
4.6875,1998-02-11
4.78125,1998-02-12
4.6875,1998-02-13
4.59375,1998-02-17
4.5,1998-02-18
4.5625,1998-02-19
4.59375,1998-02-20
4.5,1998-02-23
4.5625,1998-02-24
4.5625,1998-02-25
4.5625,1998-02-26
4.625,1998-02-27
5.0,1998-03-02
4.9375,1998-03-03
5.1875,1998-03-04
4.96875,1998-03-05
5.03125,1998-03-06
5.0,1998-03-09
5.4375,1998-03-10
5.375,1998-03-11
5.40625,1998-03-12
5.5625,1998-03-13
5.75,1998-03-16
5.84375,1998-03-17
5.8125,1998-03-18
5.875,1998-03-19
5.78125,1998-03-20
5.90625,1998-03-23
5.8125,1998-03-24
5.84375,1998-03-25
5.78125,1998-03-26
5.6875,1998-03-27
5.6875,1998-03-30
5.8125,1998-03-31
5.96875,1998-04-01
6.03125,1998-04-02
6.125,1998-04-03
6.125,1998-04-06
6.1875,1998-04-07
6.25,1998-04-08
6.3125,1998-04-09
6.34375,1998-04-13
6.40625,1998-04-14
6.40625,1998-04-15
6.28125,1998-04-16
6.375,1998-04-17
6.3125,1998-04-20
6.46875,1998-04-21
6.6875,1998-04-22
6.4375,1998-04-23
6.25,1998-04-24
5.9375,1998-04-27
6.125,1998-04-28
6.3125,1998-04-29
6.375,1998-04-30
6.34375,1998-05-01
6.25,1998-05-04
6.34375,1998-05-05
6.03125,1998-05-06
5.8125,1998-05-07
5.5,1998-05-08
5.5,1998-05-11
5.4375,1998-05-12
5.40625,1998-05-13
5.1875,1998-05-14
5.03125,1998-05-15
4.96875,1998-05-18
5.0,1998-05-19
4.9375,1998-05-20
4.75,1998-05-21
4.59375,1998-05-22
4.625,1998-05-26
4.71875,1998-05-27
4.78125,1998-05-28
4.84375,1998-05-29
4.65625,1998-06-01
4.53125,1998-06-02
4.4375,1998-06-03
4.3125,1998-06-04
4.8125,1998-06-05
4.8125,1998-06-08
4.6875,1998-06-09
4.40625,1998-06-10
4.46875,1998-06-11
4.40625,1998-06-12
4.40625,1998-06-15
4.40625,1998-06-16
4.59375,1998-06-17
4.25,1998-06-18
4.1875,1998-06-19
4.21875,1998-06-22
4.125,1998-06-23
4.1875,1998-06-24
4.40625,1998-06-25
4.28125,1998-06-26
4.625,1998-06-29
5.09375,1998-06-30
5.25,1998-07-01
5.3125,1998-07-02
5.375,1998-07-06
5.3125,1998-07-07
5.1875,1998-07-08
4.8125,1998-07-09
4.65625,1998-07-10
4.5625,1998-07-13
4.53125,1998-07-14
4.59375,1998-07-15
4.46875,1998-07-16
4.34375,1998-07-17
4.28125,1998-07-20
4.5,1998-07-21
4.5625,1998-07-22
4.4375,1998-07-23
4.46875,1998-07-24
4.3125,1998-07-27
4.375,1998-07-28
4.34375,1998-07-29
4.3125,1998-07-30
4.3125,1998-07-31
4.34375,1998-08-03
4.34375,1998-08-04
4.3125,1998-08-05
4.21875,1998-08-06
4.21875,1998-08-07
4.1875,1998-08-10
4.09375,1998-08-11
4.0625,1998-08-12
3.875,1998-08-13
3.65625,1998-08-14
3.59375,1998-08-17
3.625,1998-08-18
3.5,1998-08-19
3.46875,1998-08-20
3.4375,1998-08-21
3.5,1998-08-24
3.5,1998-08-25
3.5,1998-08-26
3.25,1998-08-27
3.28125,1998-08-28
2.84375,1998-08-31
3.75,1998-09-01
3.65625,1998-09-02
3.65625,1998-09-03
3.75,1998-09-04
3.96875,1998-09-08
3.96875,1998-09-09
3.9375,1998-09-10
3.875,1998-09-11
3.5625,1998-09-14
3.40625,1998-09-15
3.375,1998-09-16
3.25,1998-09-17
3.28125,1998-09-18
3.03125,1998-09-21
3.0,1998-09-22
2.96875,1998-09-23
3.0,1998-09-24
2.96875,1998-09-25
2.9375,1998-09-28
3.0,1998-09-29
2.9375,1998-09-30
2.75,1998-10-01
2.65625,1998-10-02
2.53125,1998-10-05
2.375,1998-10-06
2.1875,1998-10-07
2.15625,1998-10-08
2.09375,1998-10-09
1.96875,1998-10-12
2.0,1998-10-13
1.96875,1998-10-14
2.0,1998-10-15
1.84375,1998-10-16
1.9375,1998-10-19
2.21875,1998-10-20
2.3125,1998-10-21
2.71875,1998-10-22
2.8125,1998-10-23
3.28125,1998-10-26
3.21875,1998-10-27
3.125,1998-10-28
3.03125,1998-10-29
3.0625,1998-10-30
3.0,1998-11-02
2.625,1998-11-03
2.625,1998-11-04
2.5625,1998-11-05
2.625,1998-11-06
2.65625,1998-11-09
2.84375,1998-11-10
2.71875,1998-11-11
2.875,1998-11-12
2.78125,1998-11-13
2.90625,1998-11-16
2.8125,1998-11-17
2.78125,1998-11-18
2.84375,1998-11-19
2.8125,1998-11-20
2.8125,1998-11-23
2.78125,1998-11-24
2.84375,1998-11-25
2.8125,1998-11-27
2.6875,1998-11-30
2.6875,1998-12-01
2.71875,1998-12-02
2.8125,1998-12-03
2.78125,1998-12-04
2.71875,1998-12-07
2.5,1998-12-08
2.46875,1998-12-09
2.34375,1998-12-10
2.40625,1998-12-11
2.21875,1998-12-14
2.0625,1998-12-15
2.0625,1998-12-16
2.15625,1998-12-17
2.25,1998-12-18
2.15625,1998-12-21
2.0625,1998-12-22
2.25,1998-12-23
2.625,1998-12-24
2.5,1998-12-28
2.34375,1998-12-29
2.3125,1998-12-30
2.6875,1998-12-31
2.75,1999-01-04
2.78125,1999-01-05
2.75,1999-01-06
2.65625,1999-01-07
2.625,1999-01-08
2.53125,1999-01-11
2.4375,1999-01-12
2.40625,1999-01-13
2.40625,1999-01-14
2.46875,1999-01-15
2.53125,1999-01-19
2.4375,1999-01-20
2.40625,1999-01-21
2.4375,1999-01-22
2.375,1999-01-25
2.40625,1999-01-26
2.4375,1999-01-27
2.46875,1999-01-28
2.4375,1999-01-29
2.21875,1999-02-01
2.21875,1999-02-02
2.25,1999-02-03
2.34375,1999-02-04
2.40625,1999-02-05
2.4375,1999-02-08
2.4375,1999-02-09
2.28125,1999-02-10
2.3125,1999-02-11
2.21875,1999-02-12
2.15625,1999-02-16
2.09375,1999-02-17
2.0,1999-02-18
2.125,1999-02-19
2.1875,1999-02-22
2.21875,1999-02-23
2.25,1999-02-24
2.21875,1999-02-25
2.25,1999-02-26
2.21875,1999-03-01
2.21875,1999-03-02
2.125,1999-03-03
2.1875,1999-03-04
2.25,1999-03-05
2.15625,1999-03-08
2.09375,1999-03-09
2.03125,1999-03-10
2.0,1999-03-11
2.03125,1999-03-12
2.125,1999-03-15
2.125,1999-03-16
2.09375,1999-03-17
2.0625,1999-03-18
2.0,1999-03-19
2.03125,1999-03-22
1.90625,1999-03-23
1.96875,1999-03-24
1.96875,1999-03-25
1.96875,1999-03-26
1.9375,1999-03-29
1.9375,1999-03-30
1.96875,1999-03-31
1.96875,1999-04-01
1.9375,1999-04-05
1.96875,1999-04-06
1.90625,1999-04-07
1.875,1999-04-08
2.03125,1999-04-09
1.9375,1999-04-12
1.90625,1999-04-13
1.96875,1999-04-14
2.03125,1999-04-15
2.03125,1999-04-16
2.0625,1999-04-19
1.96875,1999-04-20
2.0,1999-04-21
1.96875,1999-04-22
1.9375,1999-04-23
1.9375,1999-04-26
2.03125,1999-04-27
2.1875,1999-04-28
2.34375,1999-04-29
2.25,1999-04-30
2.3125,1999-05-03
2.46875,1999-05-04
2.46875,1999-05-05
2.4375,1999-05-06
2.25,1999-05-07
2.5,1999-05-10
2.5,1999-05-11
2.5,1999-05-12
2.5,1999-05-13
2.46875,1999-05-14
2.5,1999-05-17
2.65625,1999-05-18
2.59375,1999-05-19
2.625,1999-05-20
2.625,1999-05-21
2.53125,1999-05-24
2.34375,1999-05-25
2.40625,1999-05-26
2.40625,1999-05-27
2.5,1999-05-28
2.4375,1999-06-01
2.53125,1999-06-02
2.6875,1999-06-03
2.78125,1999-06-04
2.9375,1999-06-07
3.125,1999-06-08
3.28125,1999-06-09
3.03125,1999-06-10
3.03125,1999-06-11
3.0,1999-06-14
3.09375,1999-06-15
3.03125,1999-06-16
3.03125,1999-06-17
2.90625,1999-06-18
2.90625,1999-06-21
2.9375,1999-06-22
2.9375,1999-06-23
2.90625,1999-06-24
2.875,1999-06-25
2.53125,1999-06-28
2.6875,1999-06-29
2.6875,1999-06-30
2.65625,1999-07-01
2.65625,1999-07-02
2.65625,1999-07-06
2.5,1999-07-07
2.46875,1999-07-08
2.21875,1999-07-09
2.15625,1999-07-12
2.125,1999-07-13
2.15625,1999-07-14
2.3125,1999-07-15
2.25,1999-07-16
2.1875,1999-07-19
2.21875,1999-07-20
2.09375,1999-07-21
2.0,1999-07-22
2.0,1999-07-23
2.0,1999-07-26
2.03125,1999-07-27
2.03125,1999-07-28
2.0,1999-07-29
2.0,1999-07-30
1.96875,1999-08-02
1.96875,1999-08-03
1.9375,1999-08-04
1.90625,1999-08-05
1.90625,1999-08-06
1.8125,1999-08-09
1.8125,1999-08-10
1.78125,1999-08-11
1.84375,1999-08-12
1.8125,1999-08-13
1.8125,1999-08-16
1.84375,1999-08-17
1.84375,1999-08-18
1.84375,1999-08-19
1.84375,1999-08-20
1.84375,1999-08-23
1.84375,1999-08-24
1.75,1999-08-25
1.71875,1999-08-26
1.71875,1999-08-27
1.71875,1999-08-30
1.71875,1999-08-31
1.71875,1999-09-01
1.6875,1999-09-02
1.6875,1999-09-03
1.84375,1999-09-07
2.0,1999-09-08
1.90625,1999-09-09
1.9375,1999-09-10
1.875,1999-09-13
1.84375,1999-09-14
1.8125,1999-09-15
1.875,1999-09-16
1.875,1999-09-17
1.875,1999-09-20
1.8125,1999-09-21
1.71875,1999-09-22
1.71875,1999-09-23
1.6875,1999-09-24
1.71875,1999-09-27
1.65625,1999-09-28
1.65625,1999-09-29
1.6875,1999-09-30
1.6875,1999-10-01
1.65625,1999-10-04
1.65625,1999-10-05
1.625,1999-10-06
1.5625,1999-10-07
1.59375,1999-10-08
1.53125,1999-10-11
1.5,1999-10-12
1.53125,1999-10-13
1.5625,1999-10-14
1.5,1999-10-15
1.5,1999-10-18
1.5,1999-10-19
1.53125,1999-10-20
1.46875,1999-10-21
1.46875,1999-10-22
1.375,1999-10-25
1.125,1999-10-26
0.90625,1999-10-27
1.34375,1999-10-28
1.40625,1999-10-29
1.4375,1999-11-01
1.4375,1999-11-02
1.375,1999-11-03
1.5,1999-11-04
1.5,1999-11-05
1.4375,1999-11-08
1.375,1999-11-09
1.40625,1999-11-10
1.46875,1999-11-11
1.34375,1999-11-12
1.34375,1999-11-15
1.40625,1999-11-16
1.34375,1999-11-17
1.375,1999-11-18
1.40625,1999-11-19
1.375,1999-11-22
1.3125,1999-11-23
1.3125,1999-11-24
1.375,1999-11-26
1.25,1999-11-29
1.21875,1999-11-30
1.46875,1999-12-01
1.5625,1999-12-02
1.5,1999-12-03
1.5,1999-12-06
1.375,1999-12-07
1.28125,1999-12-08
1.3125,1999-12-09
1.28125,1999-12-10
1.21875,1999-12-13
1.1875,1999-12-14
1.09375,1999-12-15
1.0625,1999-12-16
1.0625,1999-12-17
1.0625,1999-12-20
1.125,1999-12-21
1.1875,1999-12-22
1.25,1999-12-23
1.25,1999-12-27
1.15625,1999-12-28
1.1875,1999-12-29
1.1875,1999-12-30
1.15625,1999-12-31
1.125,2000-01-03
1.09375,2000-01-04
1.0625,2000-01-05
1.125,2000-01-06
1.1875,2000-01-07
1.21875,2000-01-10
1.15625,2000-01-11
1.09375,2000-01-12
1.0,2000-01-13
1.0,2000-01-14
1.0,2000-01-18
1.0,2000-01-19
0.71875,2000-01-20
0.78125,2000-01-21
0.78125,2000-01-24
0.78125,2000-01-25
0.78125,2000-01-26
0.78125,2000-01-27
0.75,2000-01-28
0.78125,2000-01-31
0.84375,2000-02-01
0.84375,2000-02-02
0.8125,2000-02-03
0.84375,2000-02-04
0.875,2000-02-07
0.84375,2000-02-08
0.8125,2000-02-09
0.78125,2000-02-10
0.75,2000-02-11
0.75,2000-02-14
0.78125,2000-02-15
0.75,2000-02-16
0.75,2000-02-17
0.8125,2000-02-18
0.8125,2000-02-22
0.8125,2000-02-23
0.8125,2000-02-24
0.8125,2000-02-25
0.8125,2000-02-28
0.8125,2000-02-29
0.8125,2000-03-01
0.84375,2000-03-02
0.8125,2000-03-03
1.03125,2000-03-06
1.21875,2000-03-07
1.28125,2000-03-08
1.3125,2000-03-09
1.28125,2000-03-10
1.25,2000-03-13
1.1875,2000-03-14
1.0625,2000-03-15
1.125,2000-03-16
1.125,2000-03-17
1.15625,2000-03-20
1.09375,2000-03-21
1.15625,2000-03-22
1.3125,2000-03-23
1.4375,2000-03-24
1.65625,2000-03-27
1.9375,2000-03-28
1.9375,2000-03-29
1.75,2000-03-30
1.65625,2000-03-31
1.90625,2000-04-03
1.875,2000-04-04
1.84375,2000-04-05
1.71875,2000-04-06
1.53125,2000-04-07
1.5625,2000-04-10
1.46875,2000-04-11
1.3125,2000-04-12
1.234375,2000-04-13
1.25,2000-04-14
1.09375,2000-04-17
1.15625,2000-04-18
1.09375,2000-04-19
1.125,2000-04-20
1.125,2000-04-24
1.1875,2000-04-25
1.15625,2000-04-26
1.15625,2000-04-27
1.28125,2000-04-28
1.28125,2000-05-01
1.375,2000-05-02
1.375,2000-05-03
1.5,2000-05-04
1.5,2000-05-05
1.34375,2000-05-08
1.25,2000-05-09
1.21875,2000-05-10
1.21875,2000-05-11
1.28125,2000-05-12
1.1875,2000-05-15
1.1875,2000-05-16
1.21875,2000-05-17
1.21875,2000-05-18
1.21875,2000-05-19
1.1875,2000-05-22
1.21875,2000-05-23
1.21875,2000-05-24
1.21875,2000-05-25
1.25,2000-05-26
1.375,2000-05-30
1.34375,2000-05-31
1.34375,2000-06-01
1.34375,2000-06-02
1.4375,2000-06-05
1.65625,2000-06-06
1.6875,2000-06-07
1.625,2000-06-08
1.59375,2000-06-09
1.5625,2000-06-12
1.625,2000-06-13
1.6875,2000-06-14
1.6875,2000-06-15
1.65625,2000-06-16
1.625,2000-06-19
1.5625,2000-06-20
1.59375,2000-06-21
1.5625,2000-06-22
1.59375,2000-06-23
1.59375,2000-06-26
1.5625,2000-06-27
1.53125,2000-06-28
1.5625,2000-06-29
1.6875,2000-06-30
1.625,2000-07-03
1.65625,2000-07-05
1.6875,2000-07-06
1.65625,2000-07-07
1.6875,2000-07-10
1.65625,2000-07-11
1.6875,2000-07-12
1.65625,2000-07-13
1.65625,2000-07-14
1.6875,2000-07-17
1.6875,2000-07-18
1.65625,2000-07-19
1.65625,2000-07-20
1.65625,2000-07-21
1.65625,2000-07-24
1.65625,2000-07-25
1.65625,2000-07-26
1.65625,2000-07-27
1.625,2000-07-28
1.65625,2000-07-31
1.90625,2000-08-01
2.0,2000-08-02
2.0,2000-08-03
1.9375,2000-08-04
1.90625,2000-08-07
2.21875,2000-08-08
2.15625,2000-08-09
2.09375,2000-08-10
2.125,2000-08-11
2.28125,2000-08-14
2.28125,2000-08-15
2.25,2000-08-16
2.25,2000-08-17
2.21875,2000-08-18
2.1875,2000-08-21
2.1875,2000-08-22
2.28125,2000-08-23
2.3125,2000-08-24
2.34375,2000-08-25
2.28125,2000-08-28
2.40625,2000-08-29
2.375,2000-08-30
2.34375,2000-08-31
2.3125,2000-09-01
2.34375,2000-09-05
2.40625,2000-09-06
2.65625,2000-09-07
2.5,2000-09-08
2.375,2000-09-11
2.3125,2000-09-12
2.34375,2000-09-13
2.40625,2000-09-14
2.4375,2000-09-15
2.40625,2000-09-18
2.4375,2000-09-19
2.375,2000-09-20
2.28125,2000-09-21
2.1875,2000-09-22
2.15625,2000-09-25
2.0,2000-09-26
1.9375,2000-09-27
2.0625,2000-09-28
2.28125,2000-09-29
2.4375,2000-10-02
2.34375,2000-10-03
2.34375,2000-10-04
2.34375,2000-10-05
2.3125,2000-10-06
2.1875,2000-10-09
2.15625,2000-10-10
2.09375,2000-10-11
2.03125,2000-10-12
2.28125,2000-10-13
2.15625,2000-10-16
2.125,2000-10-17
2.15625,2000-10-18
2.15625,2000-10-19
2.125,2000-10-20
2.09375,2000-10-23
2.0,2000-10-24
1.96875,2000-10-25
1.84375,2000-10-26
1.84375,2000-10-27
1.75,2000-10-30
1.84375,2000-10-31
2.0,2000-11-01
2.0,2000-11-02
2.03125,2000-11-03
2.03125,2000-11-06
2.25,2000-11-07
2.125,2000-11-08
2.125,2000-11-09
2.0,2000-11-10
2.25,2000-11-13
2.28125,2000-11-14
2.1875,2000-11-15
2.15625,2000-11-16
2.15625,2000-11-17
2.09375,2000-11-20
2.125,2000-11-21
2.03125,2000-11-22
2.0625,2000-11-24
2.0625,2000-11-27
2.03125,2000-11-28
2.0625,2000-11-29
2.0,2000-11-30
1.96875,2000-12-01
1.9375,2000-12-04
1.9375,2000-12-05
2.0,2000-12-06
1.9375,2000-12-07
2.0,2000-12-08
2.03125,2000-12-11
2.0,2000-12-12
1.96875,2000-12-13
1.9375,2000-12-14
1.90625,2000-12-15
1.90625,2000-12-18
2.09375,2000-12-19
1.96875,2000-12-20
1.96875,2000-12-21
1.90625,2000-12-22
1.90625,2000-12-26
2.0,2000-12-27
2.0,2000-12-28
1.96875,2000-12-29
2.0,2001-01-02
2.15625,2001-01-03
2.28125,2001-01-04
2.21875,2001-01-05
2.0625,2001-01-08
2.1875,2001-01-09
2.21875,2001-01-10
2.3125,2001-01-11
2.34375,2001-01-12
2.5,2001-01-16
2.65625,2001-01-17
2.59375,2001-01-18
2.5625,2001-01-19
2.5,2001-01-22
2.625,2001-01-23
2.53125,2001-01-24
2.40625,2001-01-25
2.34375,2001-01-26
2.2249999046325684,2001-01-29
2.5,2001-01-30
2.424999952316284,2001-01-31
2.365000009536743,2001-02-01
2.4000000953674316,2001-02-02
2.5199999809265137,2001-02-05
2.5199999809265137,2001-02-06
2.5850000381469727,2001-02-07
2.5999999046325684,2001-02-08
2.5250000953674316,2001-02-09
2.549999952316284,2001-02-12
2.75,2001-02-13
2.625,2001-02-14
2.625,2001-02-15
2.549999952316284,2001-02-16
2.4749999046325684,2001-02-20
2.625,2001-02-21
2.625,2001-02-22
2.5999999046325684,2001-02-23
2.625,2001-02-26
2.569999933242798,2001-02-27
2.575000047683716,2001-02-28
2.5250000953674316,2001-03-01
2.5999999046325684,2001-03-02
2.549999952316284,2001-03-05
2.7750000953674316,2001-03-06
3.0,2001-03-07
2.8399999141693115,2001-03-08
2.934999942779541,2001-03-09
2.700000047683716,2001-03-12
2.765000104904175,2001-03-13
2.700000047683716,2001-03-14
2.7049999237060547,2001-03-15
2.5999999046325684,2001-03-16
2.674999952316284,2001-03-19
2.869999885559082,2001-03-20
2.7899999618530273,2001-03-21
2.8499999046325684,2001-03-22
3.005000114440918,2001-03-23
3.3499999046325684,2001-03-26
3.755000114440918,2001-03-27
4.0,2001-03-28
3.924999952316284,2001-03-29
3.7699999809265137,2001-03-30
3.819999933242798,2001-04-02
3.875,2001-04-03
3.8499999046325684,2001-04-04
3.8499999046325684,2001-04-05
3.8499999046325684,2001-04-06
3.7699999809265137,2001-04-09
3.799999952316284,2001-04-10
3.799999952316284,2001-04-11
3.994999885559082,2001-04-12
3.994999885559082,2001-04-16
4.175000190734863,2001-04-17
4.019999980926514,2001-04-18
4.054999828338623,2001-04-19
4.195000171661377,2001-04-20
4.679999828338623,2001-04-23
5.119999885559082,2001-04-24
4.949999809265137,2001-04-25
4.914999961853027,2001-04-26
5.204999923706055,2001-04-27
5.050000190734863,2001-04-30
5.025000095367432,2001-05-01
5.150000095367432,2001-05-02
5.349999904632568,2001-05-03
5.275000095367432,2001-05-04
5.489999771118164,2001-05-07
6.239999771118164,2001-05-08
6.284999847412109,2001-05-09
5.824999809265137,2001-05-10
6.53000020980835,2001-05-11
7.199999809265137,2001-05-14
7.5,2001-05-15
7.059999942779541,2001-05-16
6.775000095367432,2001-05-17
6.880000114440918,2001-05-18
6.824999809265137,2001-05-21
6.78000020980835,2001-05-22
6.994999885559082,2001-05-23
7.494999885559082,2001-05-24
7.5,2001-05-25
7.454999923706055,2001-05-29
7.045000076293945,2001-05-30
7.429999828338623,2001-05-31
7.724999904632568,2001-06-01
8.300000190734863,2001-06-04
8.225000381469727,2001-06-05
7.539999961853027,2001-06-06
7.400000095367432,2001-06-07
7.474999904632568,2001-06-08
7.375,2001-06-11
7.5,2001-06-12
7.300000190734863,2001-06-13
7.005000114440918,2001-06-14
6.525000095367432,2001-06-15
6.449999809265137,2001-06-18
6.625,2001-06-19
6.949999809265137,2001-06-20
7.239999771118164,2001-06-21
7.300000190734863,2001-06-22
7.449999809265137,2001-06-25
7.505000114440918,2001-06-26
7.485000133514404,2001-06-27
7.684999942779541,2001-06-28
7.980000019073486,2001-06-29
8.050000190734863,2001-07-02
8.25,2001-07-03
8.274999618530273,2001-07-05
7.849999904632568,2001-07-06
8.149999618530273,2001-07-09
7.849999904632568,2001-07-10
7.699999809265137,2001-07-11
7.755000114440918,2001-07-12
7.849999904632568,2001-07-13
7.940000057220459,2001-07-16
8.505000114440918,2001-07-17
9.765000343322754,2001-07-18
9.444999694824219,2001-07-19
9.260000228881836,2001-07-20
9.0600004196167,2001-07-23
8.625,2001-07-24
8.25,2001-07-25
7.75,2001-07-26
7.800000190734863,2001-07-27
7.710000038146973,2001-07-30
7.880000114440918,2001-07-31
8.029999732971191,2001-08-01
8.550000190734863,2001-08-02
8.880000114440918,2001-08-03
8.875,2001-08-06
8.649999618530273,2001-08-07
8.324999809265137,2001-08-08
7.664999961853027,2001-08-09
7.949999809265137,2001-08-10
8.010000228881836,2001-08-13
8.265000343322754,2001-08-14
8.545000076293945,2001-08-15
8.475000381469727,2001-08-16
7.690000057220459,2001-08-17
8.130000114440918,2001-08-20
8.125,2001-08-21
8.255000114440918,2001-08-22
7.989999771118164,2001-08-23
7.635000228881836,2001-08-24
7.474999904632568,2001-08-27
6.800000190734863,2001-08-28
6.875,2001-08-29
7.204999923706055,2001-08-30
7.099999904632568,2001-08-31
7.150000095367432,2001-09-04
6.889999866485596,2001-09-05
