Date,RHT
2018-07-12,150.0
2018-07-11,145.0
2018-07-10,142.06
2018-07-09,139.95
2018-07-06,136.92
2018-07-05,135.56
2018-07-03,135.26
2018-07-02,136.32
2018-06-29,134.37
2018-06-28,134.69
2018-06-27,132.74
2018-06-26,138.46
2018-06-25,139.77
2018-06-22,142.14
2018-06-21,165.73
2018-06-20,169.22
2018-06-19,170.64
2018-06-18,176.27
2018-06-15,174.99
2018-06-14,175.9
2018-06-13,174.03
2018-06-12,173.01
2018-06-11,170.23
2018-06-08,171.06
2018-06-07,169.13
2018-06-06,172.49
2018-06-05,172.33
2018-06-04,169.45
2018-06-01,167.9
2018-05-31,162.42
2018-05-30,164.38
2018-05-29,162.93
2018-05-25,165.1
2018-05-24,165.09
2018-05-23,164.26
2018-05-22,161.41
2018-05-21,162.99
2018-05-18,163.28
2018-05-17,161.08
2018-05-16,161.96
2018-05-15,163.56
2018-05-14,164.75
2018-05-11,172.47
2018-05-10,171.48
2018-05-09,171.16
2018-05-08,168.6
2018-05-07,168.76
2018-05-04,166.1
2018-05-03,164.13
2018-05-02,162.6
2018-05-01,163.14
2018-04-30,163.06
2018-04-27,163.31
2018-04-26,163.11
2018-04-25,158.14
2018-04-24,160.1
2018-04-23,160.63
2018-04-20,159.28
2018-04-19,160.14
2018-04-18,161.67
2018-04-17,162.23
2018-04-16,160.53
2018-04-13,157.71
2018-04-12,159.2
2018-04-11,156.4
2018-04-10,156.75
2018-04-09,151.33
2018-04-06,149.17
2018-04-05,151.07
2018-04-04,151.82
2018-04-03,147.26
2018-04-02,144.82
2018-03-29,149.51
2018-03-28,146.2
2018-03-27,154.42
2018-03-26,153.09
2018-03-23,147.9
2018-03-22,151.03
2018-03-21,154.55
2018-03-20,155.28
2018-03-19,152.11
2018-03-16,154.17
2018-03-15,154.43
2018-03-14,155.04
2018-03-13,153.95
2018-03-12,155.08
2018-03-09,155.48
2018-03-08,153.46
2018-03-07,153.31
2018-03-06,149.72
2018-03-05,149.83
2018-03-02,148.76
2018-03-01,145.44
2018-02-28,147.4
2018-02-27,147.44
2018-02-26,148.03
2018-02-23,146.62
2018-02-22,144.66
2018-02-21,143.42
2018-02-20,144.32
2018-02-16,142.71
2018-02-15,140.07
2018-02-14,134.19
2018-02-13,132.03
2018-02-12,129.32
2018-02-09,126.84
2018-02-08,124.65
2018-02-07,128.81
2018-02-06,128.68
2018-02-05,127.05
2018-02-02,128.01
2018-02-01,130.62
2018-01-31,131.38
2018-01-30,131.46
2018-01-29,132.95
2018-01-26,135.22
2018-01-25,130.9
2018-01-24,128.89
2018-01-23,128.15
2018-01-22,128.01
2018-01-19,125.94
2018-01-18,125.47
2018-01-17,126.6
2018-01-16,124.59
2018-01-12,125.95
2018-01-11,126.16
2018-01-10,124.51
2018-01-09,124.15
2018-01-08,125.21
2018-01-05,124.14
2018-01-04,123.98
2018-01-03,123.06
2018-01-02,121.04
2017-12-29,120.1
2017-12-28,121.13
2017-12-27,121.22
2017-12-26,120.61
2017-12-22,122.92
2017-12-21,123.13
2017-12-20,122.0
2017-12-19,128.86
2017-12-18,129.44
2017-12-15,128.78
2017-12-14,126.13
2017-12-13,126.49
2017-12-12,125.75
2017-12-11,126.62
2017-12-08,125.29
2017-12-07,123.8
2017-12-06,121.94
2017-12-05,120.87
2017-12-04,120.31
2017-12-01,125.26
2017-11-30,126.76
2017-11-29,124.49
2017-11-28,129.24
2017-11-27,128.2
2017-11-24,128.36
2017-11-22,126.59
2017-11-21,128.51
2017-11-20,127.0
2017-11-17,125.95
2017-11-16,126.63
2017-11-15,123.82
2017-11-14,124.49
2017-11-13,123.99
2017-11-10,124.18
2017-11-09,123.5
2017-11-08,123.92
2017-11-07,121.92
2017-11-06,121.08
2017-11-03,121.64
2017-11-02,120.99
2017-11-01,121.26
2017-10-31,120.83
2017-10-30,121.1
2017-10-27,120.77
2017-10-26,120.29
2017-10-25,120.22
2017-10-24,121.28
2017-10-23,122.13
2017-10-20,121.8
2017-10-19,121.6
2017-10-18,120.69
2017-10-17,121.12
2017-10-16,120.89
2017-10-13,121.1
2017-10-12,120.91
2017-10-11,119.37
2017-10-10,118.35
2017-10-09,117.07
2017-10-06,117.06
2017-10-05,115.52
2017-10-04,112.74
2017-10-03,111.93
2017-10-02,112.18
2017-09-29,110.86
2017-09-28,109.59
2017-09-27,109.92
2017-09-26,110.07
2017-09-25,105.76
2017-09-22,106.3
2017-09-21,106.84
2017-09-20,106.99
2017-09-19,107.14
2017-09-18,107.44
2017-09-15,107.3
2017-09-14,107.74
2017-09-13,107.83
2017-09-12,107.66
2017-09-11,107.62
2017-09-08,107.12
2017-09-07,107.04
2017-09-06,106.34
2017-09-05,106.81
2017-09-01,107.46
2017-08-31,107.5
2017-08-30,106.16
2017-08-29,105.52
2017-08-28,105.59
2017-08-25,105.33
2017-08-24,104.65
2017-08-23,104.0
2017-08-22,104.89
2017-08-21,102.65
2017-08-18,100.43
2017-08-17,100.66
2017-08-16,101.75
2017-08-15,99.99
2017-08-14,99.74
2017-08-11,98.34
2017-08-10,95.95
2017-08-09,97.7
2017-08-08,98.07
2017-08-07,98.88
2017-08-04,98.36
2017-08-03,98.19
2017-08-02,98.35
2017-08-01,100.02
2017-07-31,98.87
2017-07-28,98.51
2017-07-27,98.92
2017-07-26,100.67
2017-07-25,99.92
2017-07-24,99.45
2017-07-21,98.94
2017-07-20,98.92
2017-07-19,99.25
2017-07-18,98.61
2017-07-17,98.53
2017-07-14,98.42
2017-07-13,97.77
2017-07-12,98.84
2017-07-11,97.41
2017-07-10,97.25
2017-07-07,96.55
2017-07-06,94.91
2017-07-05,95.54
2017-07-03,94.79
2017-06-30,95.75
2017-06-29,95.51
2017-06-28,96.81
2017-06-27,96.0
2017-06-26,98.19
2017-06-23,99.42
2017-06-22,98.88
2017-06-21,98.58
2017-06-20,89.96
2017-06-19,90.35
2017-06-16,87.85
2017-06-15,87.92
2017-06-14,88.92
2017-06-13,89.28
2017-06-12,88.72
2017-06-09,88.85
2017-06-08,91.95
2017-06-07,91.93
2017-06-06,91.66
2017-06-05,91.75
2017-06-02,91.54
2017-06-01,90.72
2017-05-31,89.57
2017-05-30,89.42
2017-05-26,88.58
2017-05-25,88.77
2017-05-24,87.99
2017-05-23,87.63
2017-05-22,87.9
2017-05-19,86.18
2017-05-18,85.52
2017-05-17,85.6
2017-05-16,89.64
2017-05-15,89.66
2017-05-12,88.25
2017-05-11,88.55
2017-05-10,89.14
2017-05-09,88.58
2017-05-08,88.2
2017-05-05,88.61
2017-05-04,87.89
2017-05-03,87.23
2017-05-02,88.18
2017-05-01,88.29
2017-04-28,88.08
2017-04-27,88.15
2017-04-26,87.71
2017-04-25,87.59
2017-04-24,87.44
2017-04-21,87.02
2017-04-20,87.42
2017-04-19,87.27
2017-04-18,86.74
2017-04-17,86.17
2017-04-13,85.93
2017-04-12,85.43
2017-04-11,85.16
2017-04-10,85.04
2017-04-07,84.91
2017-04-06,85.0
2017-04-05,84.68
2017-04-04,85.61
2017-04-03,86.48
2017-03-31,86.5
2017-03-30,85.92
2017-03-29,86.73
2017-03-28,86.48
2017-03-27,82.2
2017-03-24,82.96
2017-03-23,82.76
2017-03-22,82.55
2017-03-21,81.31
2017-03-20,84.51
2017-03-17,83.65
2017-03-16,84.1
2017-03-15,83.27
2017-03-14,82.58
2017-03-13,82.88
2017-03-10,82.21
2017-03-09,81.56
2017-03-08,82.05
2017-03-07,81.97
2017-03-06,82.03
2017-03-03,82.05
2017-03-02,82.43
2017-03-01,83.24
2017-02-28,82.81
2017-02-27,83.78
2017-02-24,84.86
2017-02-23,84.6
2017-02-22,84.71
2017-02-21,83.75
2017-02-17,82.6
2017-02-16,81.53
2017-02-15,81.05
2017-02-14,80.09
2017-02-13,79.77
2017-02-10,79.25
2017-02-09,79.31
2017-02-08,78.66
2017-02-07,78.86
2017-02-06,78.22
2017-02-03,78.13
2017-02-02,77.71
2017-02-01,76.07
2017-01-31,75.88
2017-01-30,75.51
2017-01-27,75.7
2017-01-26,75.25
2017-01-25,76.43
2017-01-24,75.43
2017-01-23,74.06
2017-01-20,74.2
2017-01-19,73.92
2017-01-18,73.6
2017-01-17,72.77
2017-01-13,73.36
2017-01-12,73.03
2017-01-11,72.33
2017-01-10,71.66
2017-01-09,72.14
2017-01-06,73.8
2017-01-05,73.1
2017-01-04,73.1
2017-01-03,70.12
2016-12-30,69.7
2016-12-29,69.65
2016-12-28,70.02
2016-12-27,70.19
2016-12-23,71.01
2016-12-22,68.71
2016-12-21,79.79
2016-12-20,79.39
2016-12-19,80.47
2016-12-16,79.95
2016-12-15,80.41
2016-12-14,79.08
2016-12-13,80.55
2016-12-12,78.41
2016-12-09,78.65
2016-12-08,78.88
2016-12-07,78.92
2016-12-06,77.93
2016-12-05,77.72
2016-12-02,76.08
2016-12-01,75.19
2016-11-30,79.11
2016-11-29,80.0
2016-11-28,78.38
2016-11-25,78.81
2016-11-23,78.75
2016-11-22,79.13
2016-11-21,79.65
2016-11-18,79.03
2016-11-17,79.82
2016-11-16,78.64
2016-11-15,76.81
2016-11-14,75.5
2016-11-11,77.05
2016-11-10,76.93
2016-11-09,76.79
2016-11-08,76.67
2016-11-07,76.67
2016-11-04,74.45
2016-11-03,74.74
2016-11-02,74.77
2016-11-01,76.66
2016-10-31,77.45
2016-10-28,77.11
2016-10-27,76.91
2016-10-26,77.03
2016-10-25,77.35
2016-10-24,78.21
2016-10-21,76.96
2016-10-20,77.58
2016-10-19,78.27
2016-10-18,77.5
2016-10-17,76.19
2016-10-14,77.2
2016-10-13,76.83
2016-10-12,77.18
2016-10-11,76.75
2016-10-10,77.99
2016-10-07,77.8
2016-10-06,78.59
2016-10-05,79.43
2016-10-04,79.65
2016-10-03,80.2
2016-09-30,80.83
2016-09-29,80.16
2016-09-28,80.56
2016-09-27,79.11
2016-09-26,78.74
2016-09-23,79.13
2016-09-22,80.02
2016-09-21,77.04
2016-09-20,75.78
2016-09-19,75.94
2016-09-16,73.8
2016-09-15,73.67
2016-09-14,73.7
2016-09-13,72.42
2016-09-12,72.95
2016-09-09,72.24
2016-09-08,72.6
2016-09-07,73.19
2016-09-06,73.37
2016-09-02,73.75
2016-09-01,72.94
2016-08-31,72.98
2016-08-30,72.94
2016-08-29,73.67
2016-08-26,74.37
2016-08-25,74.88
2016-08-24,74.72
2016-08-23,74.89
2016-08-22,74.07
2016-08-19,74.23
2016-08-18,73.71
2016-08-17,73.17
2016-08-16,73.59
2016-08-15,73.97
2016-08-12,74.0
2016-08-11,74.42
2016-08-10,74.35
2016-08-09,75.17
2016-08-08,75.25
2016-08-05,75.83
2016-08-04,74.6
2016-08-03,74.58
2016-08-02,72.89
2016-08-01,74.82
2016-07-29,75.29
2016-07-28,74.43
2016-07-27,73.64
2016-07-26,75.05
2016-07-25,73.54
2016-07-22,73.47
2016-07-21,72.3
2016-07-20,73.52
2016-07-19,72.36
2016-07-18,72.8
2016-07-15,72.83
2016-07-14,73.49
2016-07-13,73.66
2016-07-12,73.91
2016-07-11,72.64
2016-07-08,72.69
2016-07-07,71.42
2016-07-06,72.18
2016-07-05,71.29
2016-07-01,71.99
2016-06-30,72.6
2016-06-29,72.93
2016-06-28,71.48
2016-06-27,70.14
2016-06-24,73.62
2016-06-23,78.39
2016-06-22,79.75
2016-06-21,80.39
2016-06-20,78.88
2016-06-17,77.3
2016-06-16,76.97
2016-06-15,76.99
2016-06-14,77.17
2016-06-13,76.9
2016-06-10,76.92
2016-06-09,78.23
2016-06-08,79.06
2016-06-07,78.87
2016-06-06,78.13
2016-06-03,78.2
2016-06-02,78.23
2016-06-01,77.41
2016-05-31,77.46
2016-05-27,76.52
2016-05-26,76.22
2016-05-25,76.7
2016-05-24,76.41
2016-05-23,74.8
2016-05-20,73.17
2016-05-19,72.44
2016-05-18,73.0
2016-05-17,72.44
2016-05-16,72.92
2016-05-13,72.06
2016-05-12,71.93
2016-05-11,72.15
2016-05-10,73.09
2016-05-09,71.74
2016-05-06,71.73
2016-05-05,71.57
2016-05-04,71.45
2016-05-03,72.35
2016-05-02,74.32
2016-04-29,73.37
2016-04-28,73.64
2016-04-27,74.41
2016-04-26,74.49
2016-04-25,74.47
2016-04-22,74.85
2016-04-21,76.13
2016-04-20,76.06
2016-04-19,75.04
2016-04-18,75.45
2016-04-15,74.66
2016-04-14,74.45
2016-04-13,74.05
2016-04-12,72.61
2016-04-11,72.84
2016-04-08,73.8
2016-04-07,73.62
2016-04-06,74.75
2016-04-05,74.06
2016-04-04,75.28
2016-04-01,75.52
2016-03-31,74.51
2016-03-30,74.04
2016-03-29,73.49
2016-03-28,73.49
2016-03-24,73.24
2016-03-23,72.54
2016-03-22,75.71
2016-03-21,74.9
2016-03-18,74.09
2016-03-17,72.74
2016-03-16,72.86
2016-03-15,71.55
2016-03-14,72.12
2016-03-11,71.8
2016-03-10,70.06
2016-03-09,69.9
2016-03-08,68.28
2016-03-07,66.93
2016-03-04,67.58
2016-03-03,68.67
2016-03-02,68.28
2016-03-01,68.39
2016-02-29,65.35
2016-02-26,67.98
2016-02-25,67.68
2016-02-24,65.36
2016-02-23,65.3
2016-02-22,66.11
2016-02-19,65.9
2016-02-18,65.35
2016-02-17,66.34
2016-02-16,63.84
2016-02-12,64.11
2016-02-11,61.97
2016-02-10,63.54
2016-02-09,61.6
2016-02-08,60.93
2016-02-05,63.14
2016-02-04,68.62
2016-02-03,67.7
2016-02-02,67.83
2016-02-01,70.44
2016-01-29,70.05
2016-01-28,67.39
2016-01-27,67.99
2016-01-26,70.96
2016-01-25,71.74
2016-01-22,72.46
2016-01-21,70.31
2016-01-20,70.49
2016-01-19,71.6
2016-01-15,73.57
2016-01-14,76.53
2016-01-13,76.6
2016-01-12,78.68
2016-01-11,78.28
2016-01-08,79.15
2016-01-07,79.49
2016-01-06,80.59
2016-01-05,81.91
2016-01-04,81.71
2015-12-31,82.81
2015-12-30,83.65
2015-12-29,83.53
2015-12-28,82.34
2015-12-24,81.74
2015-12-23,82.2
2015-12-22,80.89
2015-12-21,80.44
2015-12-18,81.4
2015-12-17,78.86
2015-12-16,78.77
2015-12-15,78.06
2015-12-14,77.49
2015-12-11,78.58
2015-12-10,79.63
2015-12-09,79.05
2015-12-08,81.0
2015-12-07,80.52
2015-12-04,81.89
2015-12-03,80.33
2015-12-02,81.61
2015-12-01,82.22
2015-11-30,81.41
2015-11-27,82.5
2015-11-25,82.52
2015-11-24,82.05
2015-11-23,82.75
2015-11-20,82.21
2015-11-19,81.32
2015-11-18,80.53
2015-11-17,80.28
2015-11-16,79.09
2015-11-13,77.83
2015-11-12,79.81
2015-11-11,81.46
2015-11-10,80.8
2015-11-09,80.29
2015-11-06,81.02
2015-11-05,81.57
2015-11-04,82.55
2015-11-03,80.85
2015-11-02,80.14
2015-10-30,79.11
2015-10-29,78.85
2015-10-28,79.08
2015-10-27,77.87
2015-10-26,77.78
2015-10-23,77.39
2015-10-22,76.97
2015-10-21,76.81
2015-10-20,78.26
2015-10-19,78.9
2015-10-16,77.62
2015-10-15,77.7
2015-10-14,75.12
2015-10-13,74.72
2015-10-12,75.98
2015-10-09,76.48
2015-10-08,75.14
2015-10-07,74.17
2015-10-06,72.79
2015-10-05,74.12
2015-10-02,73.62
2015-10-01,73.19
2015-09-30,71.88
2015-09-29,70.49
2015-09-28,70.75
2015-09-25,72.92
2015-09-24,73.16
2015-09-23,73.25
2015-09-22,72.72
2015-09-21,72.72
2015-09-18,71.06
2015-09-17,71.38
2015-09-16,70.99
2015-09-15,71.76
2015-09-14,69.79
2015-09-11,70.53
2015-09-10,70.37
2015-09-09,69.66
2015-09-08,71.02
2015-09-04,68.66
2015-09-03,69.68
2015-09-02,70.27
2015-09-01,70.04
2015-08-31,72.21
2015-08-28,73.86
2015-08-27,74.2
2015-08-26,73.05
2015-08-25,68.96
2015-08-24,69.03
2015-08-21,72.33
2015-08-20,75.13
2015-08-19,77.51
2015-08-18,78.66
2015-08-17,78.78
2015-08-14,78.32
2015-08-13,76.97
2015-08-12,77.05
2015-08-11,77.41
2015-08-10,79.16
2015-08-07,77.59
2015-08-06,77.64
2015-08-05,80.14
2015-08-04,79.04
2015-08-03,78.29
2015-07-31,79.08
2015-07-30,79.45
2015-07-29,79.27
2015-07-28,78.73
2015-07-27,77.16
2015-07-24,78.96
2015-07-23,79.34
2015-07-22,79.41
2015-07-21,78.29
2015-07-20,79.19
2015-07-17,79.06
2015-07-16,80.59
2015-07-15,80.1
2015-07-14,80.69
2015-07-13,79.56
2015-07-10,78.54
2015-07-09,77.26
2015-07-08,75.99
2015-07-07,76.86
2015-07-06,76.62
2015-07-02,76.88
2015-07-01,77.52
2015-06-30,75.93
2015-06-29,75.45
2015-06-26,77.48
2015-06-25,79.12
2015-06-24,78.52
2015-06-23,79.62
2015-06-22,79.47
2015-06-19,79.3
2015-06-18,78.49
2015-06-17,78.26
2015-06-16,78.51
2015-06-15,78.65
2015-06-12,78.19
2015-06-11,78.55
2015-06-10,78.41
2015-06-09,77.37
2015-06-08,78.24
2015-06-05,77.9
2015-06-04,77.03
2015-06-03,77.83
2015-06-02,77.51
2015-06-01,76.74
2015-05-29,77.27
2015-05-28,77.78
2015-05-27,78.48
2015-05-26,77.28
2015-05-22,78.81
2015-05-21,78.83
2015-05-20,78.48
2015-05-19,78.14
2015-05-18,78.49
2015-05-15,77.77
2015-05-14,78.01
2015-05-13,76.59
2015-05-12,76.14
2015-05-11,76.38
2015-05-08,75.98
2015-05-07,74.76
2015-05-06,74.75
2015-05-05,75.0
2015-05-04,74.78
2015-05-01,75.36
2015-04-30,75.26
2015-04-29,76.42
2015-04-28,76.56
2015-04-27,76.57
2015-04-24,76.83
2015-04-23,76.85
2015-04-22,75.76
2015-04-21,75.22
2015-04-20,74.46
2015-04-17,73.93
2015-04-16,74.81
2015-04-15,75.9
2015-04-14,74.92
2015-04-13,75.03
2015-04-10,75.75
2015-04-09,75.48
2015-04-08,75.04
2015-04-07,75.38
2015-04-06,75.37
2015-04-02,75.1
2015-04-01,75.39
2015-03-31,75.75
2015-03-30,76.69
2015-03-27,76.52
2015-03-26,75.36
2015-03-25,68.45
2015-03-24,69.4
2015-03-23,69.47
2015-03-20,69.5
2015-03-19,69.18
2015-03-18,67.07
2015-03-17,67.09
2015-03-16,67.3
2015-03-13,66.15
2015-03-12,66.34
2015-03-11,65.12
2015-03-10,65.13
2015-03-09,66.83
2015-03-06,66.58
2015-03-05,67.98
2015-03-04,67.19
2015-03-03,68.5
2015-03-02,69.66
2015-02-27,69.12
2015-02-26,69.4
2015-02-25,69.76
2015-02-24,68.89
2015-02-23,68.54
2015-02-20,70.46
2015-02-19,69.47
2015-02-18,69.23
2015-02-17,68.6
2015-02-13,68.47
2015-02-12,67.9
2015-02-11,67.35
2015-02-10,65.74
2015-02-09,64.9
2015-02-06,64.97
2015-02-05,65.31
2015-02-04,64.79
2015-02-03,64.99
2015-02-02,64.24
2015-01-30,63.79
2015-01-29,65.75
2015-01-28,64.66
2015-01-27,65.08
2015-01-26,66.27
2015-01-23,66.06
2015-01-22,65.92
2015-01-21,64.79
2015-01-20,65.15
2015-01-16,65.19
2015-01-15,64.37
2015-01-14,66.38
2015-01-13,67.44
2015-01-12,67.62
2015-01-09,68.74
2015-01-08,69.03
2015-01-07,68.8
2015-01-06,67.5
2015-01-05,68.09
2015-01-02,68.99
2014-12-31,69.14
2014-12-30,69.48
2014-12-29,70.29
2014-12-26,71.09
2014-12-24,70.92
2014-12-23,70.45
2014-12-22,68.89
2014-12-19,68.04
2014-12-18,61.5
2014-12-17,59.48
2014-12-16,58.23
2014-12-15,58.95
2014-12-12,57.87
2014-12-11,58.42
2014-12-10,58.7
2014-12-09,59.1
2014-12-08,60.06
2014-12-05,61.68
2014-12-04,61.68
2014-12-03,62.14
2014-12-02,61.43
2014-12-01,61.51
2014-11-28,62.15
2014-11-26,62.1
2014-11-25,62.0
2014-11-24,62.34
2014-11-21,62.25
2014-11-20,62.79
2014-11-19,62.94
2014-11-18,63.22
2014-11-17,63.0
2014-11-14,62.36
2014-11-13,61.13
2014-11-12,61.41
2014-11-11,61.3
2014-11-10,61.41
2014-11-07,61.3
2014-11-06,60.74
2014-11-05,59.59
2014-11-04,59.15
2014-11-03,59.15
2014-10-31,58.92
2014-10-30,58.25
2014-10-29,56.85
2014-10-28,57.37
2014-10-27,56.17
2014-10-24,56.02
2014-10-23,55.51
2014-10-22,54.8
2014-10-21,57.13
2014-10-20,56.34
2014-10-17,55.69
2014-10-16,54.93
2014-10-15,54.87
2014-10-14,54.31
2014-10-13,54.22
2014-10-10,55.5
2014-10-09,58.05
2014-10-08,58.56
2014-10-07,56.68
2014-10-06,58.14
2014-10-03,58.14
2014-10-02,57.38
2014-10-01,56.47
2014-09-30,56.15
2014-09-29,55.49
2014-09-26,55.44
2014-09-25,55.86
2014-09-24,56.9
2014-09-23,56.33
2014-09-22,56.67
2014-09-19,57.93
2014-09-18,60.66
2014-09-17,61.08
2014-09-16,60.73
2014-09-15,59.69
2014-09-12,60.53
2014-09-11,61.68
2014-09-10,61.29
2014-09-09,60.81
2014-09-08,61.39
2014-09-05,61.07
2014-09-04,61.2
2014-09-03,61.52
2014-09-02,61.3
2014-08-29,60.92
2014-08-28,60.65
2014-08-27,61.07
2014-08-26,62.03
2014-08-25,61.35
2014-08-22,62.11
2014-08-21,61.57
2014-08-20,61.68
2014-08-19,62.54
2014-08-18,60.97
2014-08-15,59.85
2014-08-14,59.83
2014-08-13,59.78
2014-08-12,59.26
2014-08-11,59.17
2014-08-08,58.81
2014-08-07,58.38
2014-08-06,58.28
2014-08-05,58.44
2014-08-04,58.61
2014-08-01,58.39
2014-07-31,58.12
2014-07-30,58.29
2014-07-29,56.15
2014-07-28,56.7
2014-07-25,56.68
2014-07-24,56.38
2014-07-23,55.88
2014-07-22,55.68
2014-07-21,54.26
2014-07-18,54.86
2014-07-17,53.93
2014-07-16,54.84
2014-07-15,54.39
2014-07-14,55.22
2014-07-11,54.73
2014-07-10,54.78
2014-07-09,54.93
2014-07-08,54.48
2014-07-07,55.73
2014-07-03,56.1
2014-07-02,56.13
2014-07-01,56.17
2014-06-30,55.27
2014-06-27,55.16
2014-06-26,55.33
2014-06-25,55.41
2014-06-24,54.75
2014-06-23,55.01
2014-06-20,55.08
2014-06-19,55.11
