AZO,Date
15.0,1992-09-11
16.0625,1992-09-14
16.5,1992-09-15
16.4375,1992-09-16
16.25,1992-09-17
16.5,1992-09-18
16.375,1992-09-21
16.5,1992-09-22
16.6875,1992-09-23
17.0,1992-09-24
16.8125,1992-09-25
16.625,1992-09-28
16.625,1992-09-29
16.6875,1992-09-30
16.4375,1992-10-01
16.5,1992-10-02
16.0625,1992-10-05
15.6875,1992-10-06
15.6875,1992-10-07
15.6875,1992-10-08
15.75,1992-10-09
16.375,1992-10-12
16.375,1992-10-13
16.1875,1992-10-14
16.125,1992-10-15
16.1875,1992-10-16
16.1875,1992-10-19
16.375,1992-10-20
16.375,1992-10-21
16.3125,1992-10-22
16.1875,1992-10-23
16.3125,1992-10-26
16.9375,1992-10-27
16.75,1992-10-28
16.6875,1992-10-29
16.5,1992-10-30
16.375,1992-11-02
16.375,1992-11-03
16.1875,1992-11-04
16.375,1992-11-05
17.1875,1992-11-06
17.375,1992-11-09
17.5,1992-11-10
18.125,1992-11-11
17.8125,1992-11-12
18.3125,1992-11-13
18.3125,1992-11-16
18.25,1992-11-17
18.625,1992-11-18
18.5,1992-11-19
18.4375,1992-11-20
18.375,1992-11-23
18.3125,1992-11-24
18.5,1992-11-25
18.6875,1992-11-27
19.375,1992-11-30
19.4375,1992-12-01
19.75,1992-12-02
20.0,1992-12-03
20.0,1992-12-04
19.875,1992-12-07
19.75,1992-12-08
19.25,1992-12-09
19.0,1992-12-10
19.0625,1992-12-11
18.75,1992-12-14
18.9375,1992-12-15
18.75,1992-12-16
19.0,1992-12-17
18.875,1992-12-18
18.875,1992-12-21
19.125,1992-12-22
19.375,1992-12-23
19.5625,1992-12-24
19.4375,1992-12-28
19.0625,1992-12-29
19.625,1992-12-30
19.625,1992-12-31
19.3125,1993-01-04
19.375,1993-01-05
19.625,1993-01-06
19.625,1993-01-07
19.0,1993-01-08
19.4375,1993-01-11
19.375,1993-01-12
19.25,1993-01-13
19.25,1993-01-14
19.0,1993-01-15
18.9375,1993-01-18
18.9375,1993-01-19
18.5,1993-01-20
17.75,1993-01-21
17.875,1993-01-22
17.9375,1993-01-25
18.25,1993-01-26
18.25,1993-01-27
18.125,1993-01-28
17.5625,1993-01-29
17.125,1993-02-01
17.1875,1993-02-02
17.875,1993-02-03
18.125,1993-02-04
18.0625,1993-02-05
17.625,1993-02-08
17.9375,1993-02-09
18.3125,1993-02-10
18.4375,1993-02-11
18.1875,1993-02-12
17.6875,1993-02-16
17.75,1993-02-17
17.9375,1993-02-18
18.3125,1993-02-19
18.0,1993-02-22
17.5,1993-02-23
18.25,1993-02-24
18.875,1993-02-25
18.875,1993-02-26
19.75,1993-03-01
19.75,1993-03-02
20.25,1993-03-03
20.0625,1993-03-04
19.75,1993-03-05
20.125,1993-03-08
20.375,1993-03-09
20.75,1993-03-10
20.8125,1993-03-11
20.75,1993-03-12
20.875,1993-03-15
21.0,1993-03-16
21.0,1993-03-17
20.9375,1993-03-18
21.375,1993-03-19
21.125,1993-03-22
21.25,1993-03-23
21.5625,1993-03-24
21.25,1993-03-25
21.625,1993-03-26
21.625,1993-03-29
21.75,1993-03-30
21.8125,1993-03-31
21.625,1993-04-01
20.75,1993-04-02
20.8125,1993-04-05
20.0625,1993-04-06
20.4375,1993-04-07
20.1875,1993-04-08
21.1875,1993-04-12
21.5,1993-04-13
21.1875,1993-04-14
21.4375,1993-04-15
21.5625,1993-04-16
21.3125,1993-04-19
21.0625,1993-04-20
20.75,1993-04-21
20.5625,1993-04-22
20.3125,1993-04-23
19.875,1993-04-26
20.0,1993-04-27
19.5625,1993-04-28
19.5625,1993-04-29
19.4375,1993-04-30
20.625,1993-05-03
20.5,1993-05-04
21.25,1993-05-05
21.0625,1993-05-06
20.875,1993-05-07
20.8125,1993-05-10
21.1875,1993-05-11
21.5,1993-05-12
21.0,1993-05-13
20.875,1993-05-14
20.9375,1993-05-17
20.75,1993-05-18
21.625,1993-05-19
22.6875,1993-05-20
22.8125,1993-05-21
22.9375,1993-05-24
23.4375,1993-05-25
23.625,1993-05-26
23.5625,1993-05-27
23.625,1993-05-28
24.0,1993-06-01
24.0,1993-06-02
24.3125,1993-06-03
24.125,1993-06-04
23.5,1993-06-07
22.3125,1993-06-08
23.1875,1993-06-09
23.1875,1993-06-10
23.1875,1993-06-11
23.125,1993-06-14
22.375,1993-06-15
22.125,1993-06-16
22.125,1993-06-17
22.5625,1993-06-18
22.5,1993-06-21
22.6875,1993-06-22
22.125,1993-06-23
21.9375,1993-06-24
22.1875,1993-06-25
22.875,1993-06-28
23.0,1993-06-29
23.4375,1993-06-30
23.6875,1993-07-01
23.8125,1993-07-02
23.9375,1993-07-06
23.6875,1993-07-07
22.875,1993-07-08
23.1875,1993-07-09
23.0625,1993-07-12
23.1875,1993-07-13
23.125,1993-07-14
23.6875,1993-07-15
23.1875,1993-07-16
23.375,1993-07-19
23.6875,1993-07-20
24.3125,1993-07-21
23.5,1993-07-22
23.625,1993-07-23
23.9375,1993-07-26
23.875,1993-07-27
23.75,1993-07-28
23.8125,1993-07-29
23.6875,1993-07-30
23.0,1993-08-02
23.4375,1993-08-03
24.1875,1993-08-04
24.5,1993-08-05
24.1875,1993-08-06
24.625,1993-08-09
25.125,1993-08-10
25.5,1993-08-11
25.5,1993-08-12
25.375,1993-08-13
25.3125,1993-08-16
25.75,1993-08-17
25.5,1993-08-18
25.8125,1993-08-19
26.75,1993-08-20
27.1875,1993-08-23
27.5,1993-08-24
26.8125,1993-08-25
26.8125,1993-08-26
26.125,1993-08-27
26.5,1993-08-30
26.8125,1993-08-31
27.25,1993-09-01
27.125,1993-09-02
27.125,1993-09-03
27.0,1993-09-07
26.5625,1993-09-08
26.875,1993-09-09
26.9375,1993-09-10
27.1875,1993-09-13
26.8125,1993-09-14
26.625,1993-09-15
26.75,1993-09-16
26.875,1993-09-17
27.1875,1993-09-20
26.625,1993-09-21
27.0,1993-09-22
26.9375,1993-09-23
25.9375,1993-09-24
26.5,1993-09-27
26.125,1993-09-28
25.625,1993-09-29
25.0,1993-09-30
24.8125,1993-10-01
25.5,1993-10-04
25.375,1993-10-05
25.1875,1993-10-06
24.8125,1993-10-07
25.125,1993-10-08
25.5,1993-10-11
25.125,1993-10-12
25.25,1993-10-13
25.5,1993-10-14
25.6875,1993-10-15
25.375,1993-10-18
24.8125,1993-10-19
24.5625,1993-10-20
24.625,1993-10-21
25.25,1993-10-22
25.125,1993-10-25
25.625,1993-10-26
25.875,1993-10-27
26.1875,1993-10-28
26.625,1993-10-29
27.125,1993-11-01
27.375,1993-11-02
27.5625,1993-11-03
26.5,1993-11-04
26.5,1993-11-05
26.6875,1993-11-08
27.125,1993-11-09
27.625,1993-11-10
27.75,1993-11-11
27.75,1993-11-12
27.25,1993-11-15
26.875,1993-11-16
27.0625,1993-11-17
26.9375,1993-11-18
26.75,1993-11-19
26.5,1993-11-22
26.75,1993-11-23
27.125,1993-11-24
26.875,1993-11-26
27.6875,1993-11-29
27.8125,1993-11-30
28.6875,1993-12-01
28.5,1993-12-02
29.0625,1993-12-03
29.1875,1993-12-06
29.4375,1993-12-07
29.4375,1993-12-08
29.1875,1993-12-09
29.0,1993-12-10
28.4375,1993-12-13
28.0625,1993-12-14
27.6875,1993-12-15
27.625,1993-12-16
27.5,1993-12-17
27.9375,1993-12-20
27.75,1993-12-21
27.4375,1993-12-22
27.125,1993-12-23
27.0625,1993-12-27
27.25,1993-12-28
27.375,1993-12-29
27.625,1993-12-30
28.625,1993-12-31
28.125,1994-01-03
27.3125,1994-01-04
27.0625,1994-01-05
27.25,1994-01-06
27.3125,1994-01-07
27.25,1994-01-10
27.125,1994-01-11
26.9375,1994-01-12
27.0,1994-01-13
27.3125,1994-01-14
27.625,1994-01-17
27.9375,1994-01-18
27.4375,1994-01-19
27.375,1994-01-20
27.4375,1994-01-21
27.25,1994-01-24
27.5,1994-01-25
27.5625,1994-01-26
28.1875,1994-01-27
28.125,1994-01-28
28.1875,1994-01-31
28.375,1994-02-01
28.1875,1994-02-02
27.75,1994-02-03
27.25,1994-02-04
27.4375,1994-02-07
27.75,1994-02-08
27.375,1994-02-09
28.125,1994-02-10
28.0,1994-02-11
27.875,1994-02-14
27.875,1994-02-15
27.75,1994-02-16
27.625,1994-02-17
27.5,1994-02-18
27.9375,1994-02-22
27.75,1994-02-23
27.9375,1994-02-24
28.0625,1994-02-25
28.25,1994-02-28
28.0,1994-03-01
27.8125,1994-03-02
28.1875,1994-03-03
28.875,1994-03-04
29.875,1994-03-07
29.4375,1994-03-08
29.6875,1994-03-09
29.5,1994-03-10
29.3125,1994-03-11
30.0,1994-03-14
30.3125,1994-03-15
30.75,1994-03-16
30.125,1994-03-17
29.8125,1994-03-18
29.125,1994-03-21
28.9375,1994-03-22
29.0625,1994-03-23
28.625,1994-03-24
28.625,1994-03-25
28.375,1994-03-28
28.0,1994-03-29
27.375,1994-03-30
27.125,1994-03-31
26.5625,1994-04-04
27.875,1994-04-05
27.4375,1994-04-06
27.625,1994-04-07
27.5,1994-04-08
27.375,1994-04-11
27.3125,1994-04-12
27.125,1994-04-13
27.0625,1994-04-14
27.375,1994-04-15
26.25,1994-04-18
25.75,1994-04-19
26.25,1994-04-20
27.125,1994-04-21
27.25,1994-04-22
27.0,1994-04-25
27.0,1994-04-26
26.875,1994-04-28
29.0,1994-04-29
30.25,1994-05-02
29.625,1994-05-03
29.5,1994-05-04
29.25,1994-05-05
28.75,1994-05-06
28.25,1994-05-09
27.5,1994-05-10
27.375,1994-05-11
27.875,1994-05-12
27.0,1994-05-13
26.75,1994-05-16
26.5,1994-05-17
27.0,1994-05-18
26.25,1994-05-19
26.25,1994-05-20
26.5,1994-05-23
27.125,1994-05-24
26.875,1994-05-25
27.0,1994-05-26
27.25,1994-05-27
27.25,1994-05-31
27.875,1994-06-01
27.25,1994-06-02
27.625,1994-06-03
27.375,1994-06-06
27.5,1994-06-07
27.375,1994-06-08
27.75,1994-06-09
27.875,1994-06-10
27.875,1994-06-13
28.25,1994-06-14
28.0,1994-06-15
27.75,1994-06-16
26.875,1994-06-17
25.75,1994-06-20
25.5,1994-06-21
25.625,1994-06-22
25.375,1994-06-23
23.75,1994-06-24
23.875,1994-06-27
25.0,1994-06-28
25.25,1994-06-29
24.375,1994-06-30
25.5,1994-07-01
24.75,1994-07-05
25.125,1994-07-06
24.5,1994-07-07
23.75,1994-07-08
24.0,1994-07-11
24.125,1994-07-12
23.75,1994-07-13
24.125,1994-07-14
23.5,1994-07-15
23.625,1994-07-18
23.875,1994-07-19
23.5,1994-07-20
23.375,1994-07-21
23.25,1994-07-22
23.5,1994-07-25
23.25,1994-07-26
23.0,1994-07-27
22.625,1994-07-28
24.0,1994-07-29
24.125,1994-08-01
23.75,1994-08-02
23.5,1994-08-03
23.0,1994-08-04
23.5,1994-08-05
22.75,1994-08-08
23.0,1994-08-09
23.0,1994-08-10
23.0,1994-08-11
22.75,1994-08-12
22.25,1994-08-15
22.875,1994-08-16
22.75,1994-08-17
23.5,1994-08-18
24.5,1994-08-19
23.625,1994-08-22
23.625,1994-08-23
23.25,1994-08-24
23.25,1994-08-25
24.0,1994-08-26
24.0,1994-08-29
25.625,1994-08-30
24.875,1994-08-31
24.5,1994-09-01
25.0,1994-09-02
25.25,1994-09-06
25.25,1994-09-07
25.0,1994-09-08
24.625,1994-09-09
23.375,1994-09-12
22.5,1994-09-13
23.375,1994-09-14
23.875,1994-09-15
24.25,1994-09-16
24.875,1994-09-19
24.25,1994-09-20
23.625,1994-09-21
23.625,1994-09-22
23.625,1994-09-23
23.5,1994-09-26
23.375,1994-09-27
23.0,1994-09-28
22.625,1994-09-29
22.875,1994-09-30
22.625,1994-10-03
22.125,1994-10-04
21.75,1994-10-05
21.75,1994-10-06
22.625,1994-10-07
23.25,1994-10-10
23.875,1994-10-11
24.625,1994-10-12
25.0,1994-10-13
24.875,1994-10-14
25.25,1994-10-17
25.25,1994-10-18
25.5,1994-10-19
25.0,1994-10-20
24.875,1994-10-21
25.375,1994-10-24
25.5,1994-10-25
24.875,1994-10-26
25.125,1994-10-27
24.875,1994-10-28
24.0,1994-10-31
23.75,1994-11-01
24.0,1994-11-02
23.875,1994-11-03
24.25,1994-11-04
24.375,1994-11-07
25.0,1994-11-08
25.25,1994-11-09
25.125,1994-11-10
24.75,1994-11-11
25.125,1994-11-14
25.75,1994-11-15
26.125,1994-11-16
27.0,1994-11-17
26.125,1994-11-18
25.875,1994-11-21
25.0,1994-11-22
24.0,1994-11-23
24.25,1994-11-25
24.875,1994-11-28
25.375,1994-11-29
25.625,1994-11-30
25.875,1994-12-01
25.625,1994-12-02
25.625,1994-12-05
26.75,1994-12-06
26.75,1994-12-07
24.75,1994-12-08
24.75,1994-12-09
24.375,1994-12-12
24.375,1994-12-13
24.75,1994-12-14
24.625,1994-12-15
24.5,1994-12-16
24.5,1994-12-19
24.25,1994-12-20
24.0,1994-12-21
23.875,1994-12-22
24.25,1994-12-23
24.75,1994-12-27
24.25,1994-12-28
23.875,1994-12-29
24.25,1994-12-30
23.75,1995-01-03
23.5,1995-01-04
23.375,1995-01-05
23.5,1995-01-06
23.5,1995-01-09
23.5,1995-01-10
25.0,1995-01-11
24.625,1995-01-12
25.5,1995-01-13
26.25,1995-01-16
26.625,1995-01-17
26.75,1995-01-18
26.875,1995-01-19
26.5,1995-01-20
26.375,1995-01-23
26.75,1995-01-24
26.5,1995-01-25
26.125,1995-01-26
26.375,1995-01-27
26.5,1995-01-30
26.375,1995-01-31
26.75,1995-02-01
26.75,1995-02-02
26.625,1995-02-03
26.375,1995-02-06
25.75,1995-02-07
25.5,1995-02-08
25.25,1995-02-09
25.375,1995-02-10
25.75,1995-02-13
25.75,1995-02-14
26.125,1995-02-15
26.125,1995-02-16
26.125,1995-02-17
26.25,1995-02-21
26.0,1995-02-22
26.25,1995-02-23
26.125,1995-02-24
26.25,1995-02-27
26.5,1995-02-28
25.875,1995-03-01
25.375,1995-03-02
26.125,1995-03-03
25.875,1995-03-06
25.5,1995-03-07
25.5,1995-03-08
25.375,1995-03-09
25.25,1995-03-10
25.125,1995-03-13
25.5,1995-03-14
25.0,1995-03-15
24.875,1995-03-16
25.125,1995-03-17
24.875,1995-03-20
25.125,1995-03-21
24.75,1995-03-22
24.625,1995-03-23
23.875,1995-03-24
24.25,1995-03-27
24.25,1995-03-28
24.375,1995-03-29
24.25,1995-03-30
24.875,1995-03-31
24.625,1995-04-03
24.375,1995-04-04
24.625,1995-04-05
25.0,1995-04-06
25.25,1995-04-07
25.375,1995-04-10
25.625,1995-04-11
24.25,1995-04-12
24.125,1995-04-13
23.25,1995-04-17
23.625,1995-04-18
23.75,1995-04-19
23.5,1995-04-20
23.75,1995-04-21
23.5,1995-04-24
23.125,1995-04-25
23.25,1995-04-26
23.125,1995-04-27
23.125,1995-04-28
23.0,1995-05-01
23.0,1995-05-02
23.125,1995-05-03
23.125,1995-05-04
23.0,1995-05-05
22.5,1995-05-08
22.625,1995-05-09
23.125,1995-05-10
23.875,1995-05-11
25.25,1995-05-12
25.0,1995-05-15
24.75,1995-05-16
23.25,1995-05-17
22.0,1995-05-18
22.375,1995-05-19
23.375,1995-05-22
23.875,1995-05-23
24.75,1995-05-24
24.875,1995-05-25
24.375,1995-05-26
23.75,1995-05-30
23.25,1995-05-31
23.625,1995-06-01
23.0,1995-06-02
23.5,1995-06-05
23.375,1995-06-06
23.5,1995-06-07
23.5,1995-06-08
23.625,1995-06-09
23.625,1995-06-12
25.0,1995-06-13
25.125,1995-06-14
25.125,1995-06-15
25.375,1995-06-16
25.625,1995-06-19
26.0,1995-06-20
25.125,1995-06-21
25.75,1995-06-22
24.5,1995-06-23
25.25,1995-06-26
25.125,1995-06-27
25.25,1995-06-28
25.0,1995-06-29
25.125,1995-06-30
25.125,1995-07-03
25.75,1995-07-05
25.625,1995-07-06
26.125,1995-07-07
26.375,1995-07-10
26.0,1995-07-11
25.875,1995-07-12
25.875,1995-07-13
25.5,1995-07-14
25.75,1995-07-17
25.875,1995-07-18
25.5,1995-07-19
25.25,1995-07-20
25.0,1995-07-21
25.125,1995-07-24
25.625,1995-07-25
26.0,1995-07-26
26.0,1995-07-27
26.0,1995-07-28
26.0,1995-07-31
25.25,1995-08-01
25.5,1995-08-02
26.0,1995-08-03
26.0,1995-08-04
26.25,1995-08-07
26.125,1995-08-08
25.875,1995-08-09
26.0,1995-08-10
25.875,1995-08-11
26.375,1995-08-14
26.5,1995-08-15
26.75,1995-08-16
27.0,1995-08-17
26.625,1995-08-18
27.25,1995-08-21
27.5,1995-08-22
27.25,1995-08-23
26.875,1995-08-24
26.875,1995-08-25
27.0,1995-08-28
26.875,1995-08-29
27.0,1995-08-30
26.875,1995-08-31
26.375,1995-09-01
26.875,1995-09-05
26.75,1995-09-06
26.5,1995-09-07
26.75,1995-09-08
27.0,1995-09-11
26.75,1995-09-12
27.0,1995-09-13
27.25,1995-09-14
27.125,1995-09-15
27.0,1995-09-18
27.0,1995-09-19
27.625,1995-09-20
27.5,1995-09-21
27.0,1995-09-22
27.375,1995-09-25
27.25,1995-09-26
26.75,1995-09-27
26.125,1995-09-28
25.5,1995-09-29
25.375,1995-10-02
25.375,1995-10-03
25.5,1995-10-04
26.125,1995-10-05
26.125,1995-10-06
25.5,1995-10-09
25.5,1995-10-10
25.375,1995-10-11
25.125,1995-10-12
25.375,1995-10-13
25.0,1995-10-16
25.0,1995-10-17
25.0,1995-10-18
24.875,1995-10-19
24.75,1995-10-20
24.75,1995-10-23
25.0,1995-10-24
24.875,1995-10-25
24.875,1995-10-26
24.75,1995-10-27
24.875,1995-10-30
24.75,1995-10-31
25.375,1995-11-01
26.375,1995-11-02
27.375,1995-11-03
27.25,1995-11-06
28.125,1995-11-07
28.375,1995-11-08
28.875,1995-11-09
28.125,1995-11-10
28.0,1995-11-13
28.375,1995-11-14
28.25,1995-11-15
28.75,1995-11-16
29.625,1995-11-17
30.125,1995-11-20
29.5,1995-11-21
29.0,1995-11-22
29.25,1995-11-24
28.75,1995-11-27
28.5,1995-11-28
29.0,1995-11-29
29.125,1995-11-30
29.375,1995-12-01
28.625,1995-12-04
29.5,1995-12-05
29.375,1995-12-06
29.5,1995-12-07
29.875,1995-12-08
29.625,1995-12-11
29.25,1995-12-12
29.0,1995-12-13
28.0,1995-12-14
27.875,1995-12-15
28.25,1995-12-18
28.375,1995-12-19
28.75,1995-12-20
29.25,1995-12-21
29.125,1995-12-22
28.875,1995-12-26
28.875,1995-12-27
28.75,1995-12-28
28.875,1995-12-29
28.875,1996-01-02
28.75,1996-01-03
28.25,1996-01-04
28.125,1996-01-05
27.5,1996-01-08
26.5,1996-01-09
26.125,1996-01-10
25.5,1996-01-11
25.0,1996-01-12
24.75,1996-01-15
24.875,1996-01-16
24.875,1996-01-17
25.25,1996-01-18
26.25,1996-01-19
25.5,1996-01-22
25.0,1996-01-23
24.625,1996-01-24
25.5,1996-01-25
26.0,1996-01-26
25.5,1996-01-29
25.0,1996-01-30
24.125,1996-01-31
24.875,1996-02-01
26.75,1996-02-02
26.75,1996-02-05
26.875,1996-02-06
27.625,1996-02-07
27.5,1996-02-08
27.75,1996-02-09
27.75,1996-02-12
27.5,1996-02-13
27.625,1996-02-14
