Date,FLIR
2003-12-17,8.66
2003-12-18,8.735
2003-12-19,8.8025
2003-12-22,8.7925
2003-12-23,9.01
2003-12-24,9.0125
2003-12-26,8.9825
2003-12-29,9.125
2003-12-30,9.165
2003-12-31,9.125
2004-01-02,9.045
2004-01-05,9.2925
2004-01-06,9.4175
2004-01-07,9.575
2004-01-08,9.7875
2004-01-09,9.8475
2004-01-12,9.995
2004-01-13,9.815
2004-01-14,10.0025
2004-01-15,9.9975
2004-01-16,10.06
2004-01-20,9.7375
2004-01-21,9.75
2004-01-22,9.475
2004-01-23,9.6525
2004-01-26,9.615
2004-01-27,9.2625
2004-01-28,9.14
2004-01-29,8.95
2004-01-30,9.05
2004-02-02,9.15
2004-02-03,8.88
2004-02-04,9.425
2004-02-05,9.5725
2004-02-06,9.875
2004-02-09,10.09
2004-02-10,10.085
2004-02-11,10.1375
2004-02-12,10.13
2004-02-13,9.8725
2004-02-17,9.97
2004-02-18,10.0125
2004-02-19,9.86
2004-02-20,9.865
2004-02-23,9.625
2004-02-24,9.605
2004-02-25,9.7125
2004-02-26,9.7225
2004-02-27,9.6075
2004-03-01,9.8925
2004-03-02,9.8375
2004-03-03,9.7925
2004-03-04,9.6675
2004-03-05,9.87
2004-03-08,9.5575
2004-03-09,9.26
2004-03-10,9.1975
2004-03-11,9.2
2004-03-12,9.3325
2004-03-15,9.1475
2004-03-16,9.285
2004-03-17,9.6125
2004-03-18,9.4125
2004-03-19,9.3825
2004-03-22,9.3525
2004-03-23,9.28
2004-03-24,9.225
2004-03-25,9.5225
2004-03-26,9.3875
2004-03-29,9.5275
2004-03-30,9.6925
2004-03-31,9.53
2004-04-01,9.7525
2004-04-02,9.865
2004-04-05,9.97
2004-04-06,9.8175
2004-04-07,9.8675
2004-04-08,9.9375
2004-04-12,10.55
2004-04-13,10.0
2004-04-14,9.8125
2004-04-15,9.7875
2004-04-16,9.6375
2004-04-19,9.79
2004-04-20,9.6
2004-04-21,11.1225
2004-04-22,11.41
2004-04-23,11.3925
2004-04-26,11.7175
2004-04-27,12.125
2004-04-28,12.35
2004-04-29,11.845
2004-04-30,11.71
2004-05-03,11.5225
2004-05-04,11.5275
2004-05-05,11.6
2004-05-06,11.4425
2004-05-07,11.215
2004-05-10,11.025
2004-05-11,11.2575
2004-05-12,11.14
2004-05-13,11.7525
2004-05-14,11.6975
2004-05-17,11.5675
2004-05-18,11.5625
2004-05-19,11.7175
2004-05-20,11.96
2004-05-21,11.9775
2004-05-24,12.22
2004-05-25,12.45
2004-05-26,12.44
2004-05-27,12.1425
2004-05-28,12.3
2004-06-01,12.2125
2004-06-02,12.265
2004-06-03,12.1325
2004-06-04,13.0625
2004-06-07,13.0775
2004-06-08,13.3825
2004-06-09,12.7025
2004-06-10,12.7125
2004-06-14,12.3125
2004-06-15,12.66
2004-06-16,12.7275
2004-06-17,12.7725
2004-06-18,12.5725
2004-06-21,12.3825
2004-06-22,12.445
2004-06-23,13.0925
2004-06-24,12.9275
2004-06-25,13.1875
2004-06-28,13.4875
2004-06-29,13.5775
2004-06-30,13.725
2004-07-01,13.55
2004-07-02,13.2475
2004-07-06,13.0275
2004-07-07,13.2
2004-07-08,13.265
2004-07-09,13.4275
2004-07-12,13.235
2004-07-13,13.33
2004-07-14,13.5475
2004-07-15,13.8475
2004-07-16,13.8775
2004-07-19,14.025
2004-07-20,14.1275
2004-07-21,13.835
2004-07-22,15.3175
2004-07-23,15.2025
2004-07-26,15.705
2004-07-27,15.475
2004-07-28,15.1725
2004-07-29,15.7725
2004-07-30,15.9075
2004-08-02,15.9575
2004-08-03,15.7725
2004-08-04,15.6
2004-08-05,15.42
2004-08-06,14.8075
2004-08-09,14.9775
2004-08-10,15.3975
2004-08-11,15.3
2004-08-12,15.175
2004-08-13,15.01
2004-08-16,15.1775
2004-08-17,15.475
2004-08-18,15.7075
2004-08-19,15.6975
2004-08-20,15.775
2004-08-23,16.4775
2004-08-24,15.89
2004-08-25,15.9875
2004-08-26,15.76
2004-08-27,15.6275
2004-08-30,15.08
2004-08-31,14.5925
2004-09-01,14.5
2004-09-02,14.9475
2004-09-03,14.975
2004-09-07,15.215
2004-09-08,15.0875
2004-09-09,15.2375
2004-09-10,15.3625
2004-09-13,15.61
2004-09-14,15.4
2004-09-15,15.24
2004-09-16,15.515
2004-09-17,15.7225
2004-09-20,15.78
2004-09-21,15.99
2004-09-22,15.8325
2004-09-23,15.62
2004-09-24,15.725
2004-09-27,15.35
2004-09-28,15.585
2004-09-29,14.8375
2004-09-30,14.625
2004-10-01,14.51
2004-10-04,14.875
2004-10-05,14.995
2004-10-06,14.855
2004-10-07,14.54
2004-10-08,13.63
2004-10-11,13.93
2004-10-12,13.525
2004-10-13,13.7375
2004-10-14,13.815
2004-10-15,13.625
2004-10-18,13.5625
2004-10-19,13.345
2004-10-20,13.715
2004-10-21,14.08
2004-10-22,13.6525
2004-10-25,13.505
2004-10-26,13.435
2004-10-27,13.4875
2004-10-28,13.3625
2004-10-29,13.3025
2004-11-01,13.4875
2004-11-02,13.845
2004-11-03,14.0725
2004-11-04,14.58
2004-11-05,14.435
2004-11-08,14.3175
2004-11-09,14.605
2004-11-10,14.7175
2004-11-11,15.28
2004-11-12,15.175
2004-11-15,15.2475
2004-11-16,14.945
2004-11-17,14.8775
2004-11-18,14.95
2004-11-19,14.5625
2004-11-22,14.595
2004-11-23,14.715
2004-11-24,14.585
2004-11-26,14.52
2004-11-29,14.705
2004-11-30,14.0875
2004-12-01,14.31
2004-12-02,14.3375
2004-12-03,14.145
2004-12-06,13.99
2004-12-07,13.6175
2004-12-08,13.8675
2004-12-09,14.065
2004-12-10,13.725
2004-12-13,13.575
2004-12-14,13.925
2004-12-15,13.97
2004-12-16,15.025
2004-12-17,15.03
2004-12-20,14.9675
2004-12-21,15.125
2004-12-22,15.57
2004-12-23,15.3825
2004-12-27,15.225
2004-12-28,15.72
2004-12-29,15.66
2004-12-30,15.7725
2004-12-31,15.9475
2005-01-03,15.7
2005-01-04,15.1
2005-01-05,15.1325
2005-01-06,15.0125
2005-01-07,15.02
2005-01-10,15.1325
2005-01-11,14.715
2005-01-12,14.6825
2005-01-13,14.65
2005-01-14,14.725
2005-01-18,15.075
2005-01-19,14.795
2005-01-20,14.6925
2005-01-21,14.435
2005-01-24,14.1375
2005-01-25,14.4675
2005-01-26,14.745
2005-01-27,14.995
2005-01-28,14.96
2005-01-31,15.2375
2005-02-01,15.4675
2005-02-02,15.2925
2005-02-03,15.565
2005-02-04,15.7
2005-02-07,15.86
2005-02-08,15.85
2005-02-09,15.55
2005-02-10,15.665
2005-02-11,15.93
2005-02-14,15.94
2005-02-15,15.875
2005-02-16,15.9
2005-02-17,15.5
2005-02-18,15.505
2005-02-22,15.22
2005-02-23,15.65
2005-02-24,15.585
2005-02-25,15.54
2005-02-28,15.625
2005-03-01,15.885
2005-03-02,15.71
2005-03-03,15.91
2005-03-04,16.675
2005-03-07,17.065
2005-03-08,16.845
2005-03-09,16.865
2005-03-10,16.76
2005-03-11,16.67
2005-03-14,16.625
2005-03-15,16.575
2005-03-16,16.255
2005-03-17,16.26
2005-03-18,16.085
2005-03-21,15.875
2005-03-22,15.81
2005-03-23,15.625
2005-03-24,14.775
2005-03-28,14.665
2005-03-29,14.05
2005-03-30,15.425
2005-03-31,15.15
2005-04-01,15.3
2005-04-04,15.14
2005-04-05,15.09
2005-04-06,15.09
2005-04-07,15.075
2005-04-08,14.81
2005-04-11,14.715
2005-04-12,12.245
2005-04-13,12.585
2005-04-14,12.29
2005-04-15,12.23
2005-04-18,12.605
2005-04-19,12.955
2005-04-20,12.865
2005-04-21,13.025
2005-04-22,13.425
2005-04-25,13.28
2005-04-26,13.15
2005-04-27,13.185
2005-04-28,12.84
2005-04-29,13.3
2005-05-02,13.42
2005-05-03,13.24
2005-05-04,13.525
2005-05-05,13.425
2005-05-06,13.585
2005-05-09,13.33
2005-05-10,12.955
2005-05-11,13.005
2005-05-12,13.07
2005-05-13,12.915
2005-05-16,12.74
2005-05-17,12.55
2005-05-18,12.555
2005-05-19,12.82
2005-05-20,12.965
2005-05-23,13.15
2005-05-24,12.975
2005-05-25,12.885
2005-05-26,12.99
2005-05-27,13.14
2005-05-31,13.405
2005-06-01,13.895
2005-06-02,14.06
2005-06-03,14.015
2005-06-06,13.985
2005-06-07,14.14
2005-06-08,13.805
2005-06-09,13.665
2005-06-10,13.52
2005-06-13,13.75
2005-06-14,13.895
2005-06-15,14.625
2005-06-16,14.61
2005-06-17,14.825
2005-06-20,14.84
2005-06-21,14.805
2005-06-22,14.855
2005-06-23,14.595
2005-06-24,14.255
2005-06-27,14.22
2005-06-28,14.765
2005-06-29,15.185
2005-06-30,14.92
2005-07-01,15.025
2005-07-05,15.06
2005-07-06,14.98
2005-07-07,15.27
2005-07-08,15.28
2005-07-11,15.14
2005-07-12,14.98
2005-07-13,14.73
2005-07-14,14.69
2005-07-15,14.61
2005-07-18,14.48
2005-07-19,14.525
2005-07-20,14.49
2005-07-21,16.345
2005-07-22,16.49
2005-07-25,16.935
2005-07-26,16.75
2005-07-27,16.53
2005-07-28,16.55
2005-07-29,16.445
2005-08-01,18.045
2005-08-02,17.62
2005-08-03,17.065
2005-08-04,16.595
2005-08-05,16.345
2005-08-08,16.15
2005-08-09,16.225
2005-08-10,16.375
2005-08-11,16.18
2005-08-12,16.005
2005-08-15,16.14
2005-08-16,16.15
2005-08-17,16.205
2005-08-18,16.395
2005-08-19,16.35
2005-08-22,16.565
2005-08-23,16.535
2005-08-24,16.245
2005-08-25,16.26
2005-08-26,16.255
2005-08-29,16.095
2005-08-30,16.19
2005-08-31,16.145
2005-09-01,15.795
2005-09-02,15.395
2005-09-06,15.31
2005-09-07,15.51
2005-09-08,15.15
2005-09-09,15.0
2005-09-12,15.375
2005-09-13,15.185
2005-09-14,14.815
2005-09-15,14.805
2005-09-16,15.045
2005-09-19,14.905
2005-09-20,14.52
2005-09-21,14.445
2005-09-22,14.37
2005-09-23,14.565
2005-09-26,14.835
2005-09-27,14.84
2005-09-28,14.955
2005-09-29,14.94
2005-09-30,14.785
2005-10-03,14.775
2005-10-04,14.915
2005-10-05,14.34
2005-10-06,14.09
2005-10-07,13.94
2005-10-10,12.005
2005-10-11,11.99
2005-10-12,11.85
2005-10-13,12.065
2005-10-14,11.985
2005-10-17,11.625
2005-10-18,11.22
2005-10-19,10.975
2005-10-20,11.01
2005-10-21,10.94
2005-10-24,11.045
2005-10-25,11.12
2005-10-26,10.945
2005-10-27,10.655
2005-10-28,10.495
2005-10-31,10.48
2005-11-01,10.265
2005-11-02,10.66
2005-11-03,10.955
2005-11-04,11.6
2005-11-07,12.095
2005-11-08,11.875
2005-11-09,12.225
2005-11-10,12.19
2005-11-11,12.05
2005-11-14,11.84
2005-11-15,11.57
2005-11-16,11.385
2005-11-17,11.655
2005-11-18,11.535
2005-11-21,11.77
2005-11-22,11.8
2005-11-23,12.245
2005-11-25,12.225
2005-11-28,11.82
2005-11-29,11.915
2005-11-30,12.4
2005-12-01,10.965
2005-12-02,11.49
2005-12-05,11.375
2005-12-06,11.485
2005-12-07,11.25
2005-12-08,11.57
2005-12-09,11.405
2005-12-12,11.555
2005-12-13,11.605
2005-12-14,11.645
2005-12-15,11.685
2005-12-16,11.585
2005-12-19,11.505
2005-12-20,11.465
2005-12-21,11.46
2005-12-22,11.365
2005-12-23,11.4
2005-12-27,11.215
2005-12-28,11.225
2005-12-29,11.17
2005-12-30,11.165
2006-01-03,11.355
2006-01-04,11.645
2006-01-05,11.58
2006-01-06,11.54
2006-01-09,12.01
2006-01-10,12.055
2006-01-11,12.21
2006-01-12,12.435
2006-01-13,12.415
2006-01-17,12.315
2006-01-18,12.0
2006-01-19,11.97
2006-01-20,11.61
2006-01-23,11.52
2006-01-24,11.585
2006-01-25,11.55
2006-01-26,11.78
2006-01-27,11.815
2006-01-30,11.88
2006-01-31,11.85
2006-02-01,11.895
2006-02-02,11.85
2006-02-03,12.03
2006-02-06,12.45
2006-02-07,12.49
2006-02-08,12.51
2006-02-09,12.84
2006-02-10,12.92
2006-02-13,12.57
2006-02-14,12.525
2006-02-15,12.81
2006-02-16,12.86
2006-02-17,12.845
2006-02-21,12.5
2006-02-22,12.625
2006-02-23,12.94
2006-02-24,13.03
2006-02-27,13.115
2006-02-28,12.92
2006-03-01,12.93
2006-03-02,12.93
2006-03-03,12.915
2006-03-06,12.935
2006-03-07,13.08
2006-03-08,13.4
2006-03-09,13.495
2006-03-10,13.58
2006-03-13,13.85
2006-03-14,14.0
2006-03-15,13.945
2006-03-16,13.67
2006-03-17,13.575
2006-03-20,13.52
2006-03-21,13.77
2006-03-22,13.785
2006-03-23,13.725
2006-03-24,13.895
2006-03-27,14.24
2006-03-28,13.95
2006-03-29,13.955
2006-03-30,14.045
2006-03-31,14.205
2006-04-03,13.97
2006-04-04,14.16
2006-04-05,14.055
2006-04-06,14.15
2006-04-07,14.295
2006-04-10,14.275
2006-04-11,14.3
2006-04-12,14.125
2006-04-13,14.445
2006-04-17,14.875
2006-04-18,13.195
2006-04-19,12.635
2006-04-20,13.0
2006-04-21,13.005
2006-04-24,13.105
2006-04-25,13.045
2006-04-26,12.91
2006-04-27,12.485
2006-04-28,12.225
2006-05-01,11.875
2006-05-02,11.97
2006-05-03,12.04
2006-05-04,12.025
2006-05-05,12.175
2006-05-08,12.54
2006-05-09,12.5
2006-05-10,12.47
2006-05-11,12.1
2006-05-12,11.9
2006-05-15,11.865
2006-05-16,11.985
2006-05-17,12.13
2006-05-18,12.265
2006-05-19,12.285
2006-05-22,12.27
2006-05-23,12.58
2006-05-24,12.77
2006-05-25,13.04
2006-05-26,13.2
2006-05-30,12.885
2006-05-31,12.805
2006-06-01,13.03
2006-06-02,12.73
2006-06-05,12.58
2006-06-06,12.5
2006-06-07,12.895
2006-06-08,12.735
2006-06-09,12.44
2006-06-12,11.88
2006-06-13,11.84
2006-06-14,11.74
2006-06-15,11.815
2006-06-16,11.84
2006-06-19,11.785
2006-06-20,11.79
2006-06-21,11.825
2006-06-22,11.33
2006-06-23,11.355
2006-06-26,11.345
2006-06-27,10.905
2006-06-28,11.11
2006-06-29,11.52
2006-06-30,11.45
2006-07-03,11.415
2006-07-05,11.125
2006-07-06,11.155
2006-07-07,10.855
2006-07-10,10.82
2006-07-11,13.36
2006-07-12,13.355
2006-07-13,13.15
2006-07-14,12.92
2006-07-17,12.64
2006-07-18,12.805
2006-07-19,12.24
2006-07-20,11.96
2006-07-21,11.87
2006-07-24,12.435
2006-07-25,12.24
2006-07-26,12.0
2006-07-27,12.155
2006-07-28,12.21
2006-07-31,11.995
2006-08-01,11.72
2006-08-02,11.9
2006-08-03,11.995
2006-08-04,11.985
2006-08-07,11.77
2006-08-08,11.61
2006-08-09,11.625
2006-08-10,11.87
2006-08-11,11.81
2006-08-14,12.01
2006-08-15,12.53
2006-08-16,12.74
2006-08-17,13.075
2006-08-18,12.84
2006-08-21,12.69
2006-08-22,12.84
2006-08-23,12.675
2006-08-24,12.565
2006-08-25,12.675
2006-08-28,12.8
2006-08-29,12.85
2006-08-30,13.36
2006-08-31,13.85
2006-09-01,13.745
2006-09-05,13.86
2006-09-06,13.53
2006-09-07,13.49
2006-09-08,13.645
2006-09-11,13.635
2006-09-12,13.76
2006-09-13,13.8
2006-09-14,13.72
2006-09-15,13.615
2006-09-18,13.65
2006-09-19,13.635
2006-09-20,13.545
2006-09-21,13.52
2006-09-22,13.315
2006-09-25,13.505
2006-09-26,13.5
2006-09-27,13.345
2006-09-28,13.585
2006-09-29,13.58
2006-10-02,13.29
2006-10-03,13.265
2006-10-04,13.685
2006-10-05,13.795
2006-10-06,13.4
2006-10-09,13.365
2006-10-10,13.41
2006-10-11,13.33
2006-10-12,13.975
2006-10-13,14.105
2006-10-16,14.355
2006-10-17,14.08
2006-10-18,14.05
2006-10-19,14.465
2006-10-20,14.565
2006-10-23,14.44
2006-10-24,14.195
2006-10-25,14.7
2006-10-26,15.43
2006-10-27,15.61
2006-10-30,15.8
2006-10-31,15.97
2006-11-01,15.48
2006-11-02,15.535
2006-11-03,15.505
2006-11-06,15.815
2006-11-07,15.915
2006-11-08,16.19
2006-11-09,16.15
2006-11-10,16.125
2006-11-13,16.4
2006-11-14,16.82
2006-11-15,16.46
2006-11-16,16.635
2006-11-17,16.5
2006-11-20,16.9
2006-11-21,16.915
2006-11-22,16.845
2006-11-24,16.765
2006-11-27,16.12
2006-11-28,16.145
2006-11-29,16.3
2006-11-30,16.105
2006-12-01,16.045
2006-12-04,16.11
2006-12-05,15.845
2006-12-06,15.97
2006-12-07,15.755
2006-12-08,15.775
2006-12-11,15.805
2006-12-12,15.62
2006-12-13,15.555
2006-12-14,15.895
2006-12-15,16.325
2006-12-18,15.955
2006-12-19,15.845
2006-12-20,16.02
2006-12-21,15.95
2006-12-22,15.905
2006-12-26,16.215
2006-12-27,16.345
2006-12-28,16.175
2006-12-29,15.915
2007-01-03,15.98
2007-01-04,16.185
2007-01-05,15.79
2007-01-08,15.895
2007-01-09,15.63
2007-01-10,15.785
2007-01-11,16.15
2007-01-12,16.245
2007-01-16,16.07
2007-01-17,16.11
2007-01-18,15.63
2007-01-19,15.58
2007-01-22,15.53
2007-01-23,15.72
2007-01-24,15.865
2007-01-25,15.86
2007-01-26,15.955
2007-01-29,15.905
2007-01-30,15.02
2007-01-31,15.455
2007-02-01,15.605
2007-02-02,15.765
2007-02-05,15.79
2007-02-06,15.88
2007-02-07,15.3
2007-02-08,17.425
2007-02-09,17.225
2007-02-12,17.065
2007-02-13,17.12
2007-02-14,17.38
2007-02-15,17.535
2007-02-16,17.66
2007-02-20,17.515
2007-02-21,17.81
2007-02-22,17.93
2007-02-23,17.965
2007-02-26,17.91
2007-02-27,17.705
2007-02-28,17.38
2007-03-01,17.44
2007-03-02,16.675
2007-03-05,16.58
2007-03-06,16.975
2007-03-07,16.95
2007-03-08,17.26
2007-03-09,17.3
2007-03-12,17.605
2007-03-13,17.02
2007-03-14,16.995
2007-03-15,17.03
2007-03-16,16.855
2007-03-19,16.9
2007-03-20,17.395
2007-03-21,17.61
2007-03-22,17.285
2007-03-23,17.32
2007-03-26,17.31
2007-03-27,17.335
2007-03-28,17.265
2007-03-29,17.64
2007-03-30,17.835
2007-04-02,17.71
2007-04-03,18.035
2007-04-04,17.95
2007-04-05,18.545
2007-04-09,18.23
2007-04-10,18.59
2007-04-11,18.51
2007-04-12,18.755
2007-04-13,19.15
2007-04-16,19.395
2007-04-17,19.34
2007-04-18,19.595
2007-04-19,19.495
2007-04-20,19.875
2007-04-23,19.705
2007-04-24,19.65
2007-04-25,19.835
2007-04-26,19.635
2007-04-27,20.97
2007-04-30,20.245
2007-05-01,20.75
2007-05-02,20.875
2007-05-03,21.31
2007-05-04,21.865
2007-05-07,21.54
2007-05-08,21.345
2007-05-09,21.465
2007-05-10,21.165
2007-05-11,20.955
2007-05-14,20.8
2007-05-15,20.415
2007-05-16,20.225
2007-05-17,20.11
2007-05-18,20.4
2007-05-21,20.665
2007-05-22,20.965
2007-05-23,20.485
2007-05-24,20.17
2007-05-25,20.305
2007-05-29,20.5
2007-05-30,20.53
2007-05-31,20.68
2007-06-01,20.85
2007-06-04,20.865
2007-06-05,20.87
2007-06-06,20.555
2007-06-07,20.05
2007-06-08,20.075
2007-06-11,20.255
2007-06-12,19.895
2007-06-13,20.365
2007-06-14,21.1
2007-06-15,21.485
2007-06-18,21.12
2007-06-19,21.62
2007-06-20,21.28
2007-06-21,21.775
2007-06-22,21.64
2007-06-25,22.125
2007-06-26,22.225
2007-06-27,22.615
2007-06-28,23.07
2007-06-29,23.125
2007-07-02,23.62
2007-07-03,23.925
2007-07-05,23.77
2007-07-06,23.66
2007-07-09,23.22
2007-07-10,23.005
2007-07-11,23.23
2007-07-12,23.785
2007-07-13,23.855
2007-07-16,24.405
2007-07-17,24.505
2007-07-18,24.695
2007-07-19,24.825
2007-07-20,24.5
2007-07-23,24.83
2007-07-24,24.455
2007-07-25,24.525
2007-07-26,23.125
2007-07-27,22.4
2007-07-30,22.415
2007-07-31,21.825
2007-08-01,21.375
2007-08-02,21.605
2007-08-03,21.73
2007-08-06,22.405
2007-08-07,23.33
2007-08-08,25.075
2007-08-09,26.21
2007-08-10,25.19
2007-08-13,24.42
2007-08-14,23.67
2007-08-15,23.775
2007-08-16,24.935
2007-08-17,25.52
2007-08-20,25.475
2007-08-21,25.075
2007-08-22,25.96
2007-08-23,25.13
2007-08-24,25.2
2007-08-27,24.53
2007-08-28,23.495
2007-08-29,24.115
2007-08-30,24.125
2007-08-31,24.62
2007-09-04,24.55
2007-09-05,24.23
2007-09-06,24.225
2007-09-07,24.36
2007-09-10,24.585
2007-09-11,25.285
2007-09-12,25.045
2007-09-13,24.775
2007-09-14,25.455
2007-09-17,25.115
2007-09-18,26.57
2007-09-19,27.585
2007-09-20,27.455
2007-09-21,27.28
2007-09-24,26.815
2007-09-25,26.88
2007-09-26,27.83
2007-09-27,28.44
2007-09-28,27.695
2007-10-01,29.64
2007-10-02,29.12
2007-10-03,28.19
2007-10-04,28.395
2007-10-05,29.155
2007-10-08,29.015
2007-10-09,28.945
2007-10-10,29.565
2007-10-11,28.735
2007-10-12,30.035
2007-10-15,29.24
2007-10-16,29.695
2007-10-17,29.86
2007-10-18,30.475
2007-10-19,28.885
2007-10-22,29.755
2007-10-23,29.5
2007-10-24,29.46
2007-10-25,33.81
2007-10-26,33.96
2007-10-29,34.915
2007-10-30,34.16
2007-10-31,34.695
2007-11-01,34.98
2007-11-02,35.28
2007-11-05,35.38
2007-11-06,36.35
2007-11-07,35.305
2007-11-08,34.31
2007-11-09,31.69
2007-11-12,30.74
2007-11-13,32.41
2007-11-14,31.92
2007-11-15,31.755
2007-11-16,31.915
2007-11-19,31.525
2007-11-20,32.3
2007-11-21,31.82
2007-11-23,32.6
2007-11-26,32.36
2007-11-27,33.63
2007-11-28,34.595
2007-11-29,34.775
2007-11-30,34.365
2007-12-03,34.695
2007-12-04,34.525
2007-12-05,34.63
2007-12-06,33.8
2007-12-07,33.35
2007-12-10,33.255
2007-12-11,31.21
