REGN,Date
21.0,1992-02-12
19.75,1992-02-13
18.25,1992-02-14
17.0,1992-02-18
17.5,1992-02-19
19.0,1992-02-20
18.5,1992-02-21
17.75,1992-02-24
17.5,1992-02-25
18.5,1992-02-26
18.25,1992-02-27
18.0,1992-02-28
17.75,1992-03-02
18.25,1992-03-03
16.5,1992-03-04
16.0,1992-03-05
16.25,1992-03-06
16.25,1992-03-09
17.75,1992-03-10
16.75,1992-03-11
16.25,1992-03-12
16.0,1992-03-13
15.0,1992-03-16
16.0,1992-03-17
15.75,1992-03-18
16.25,1992-03-19
16.5,1992-03-20
16.5,1992-03-23
16.5,1992-03-24
16.0,1992-03-25
15.75,1992-03-26
15.0,1992-03-27
14.5,1992-03-30
15.25,1992-03-31
16.0,1992-04-01
15.25,1992-04-02
15.0,1992-04-03
15.25,1992-04-06
15.25,1992-04-07
14.25,1992-04-08
14.75,1992-04-09
14.5,1992-04-10
14.5,1992-04-13
14.75,1992-04-14
13.0,1992-04-15
11.625,1992-04-16
12.5,1992-04-20
12.625,1992-04-21
12.75,1992-04-22
12.25,1992-04-23
11.375,1992-04-24
12.5,1992-04-27
12.5,1992-04-28
13.75,1992-04-29
13.5,1992-04-30
13.0,1992-05-01
13.625,1992-05-04
14.25,1992-05-05
13.75,1992-05-06
14.0,1992-05-07
12.25,1992-05-08
12.0,1992-05-11
12.0,1992-05-12
12.0,1992-05-13
11.5,1992-05-14
11.125,1992-05-15
11.375,1992-05-18
11.75,1992-05-19
11.25,1992-05-20
11.25,1992-05-21
12.0,1992-05-22
12.0,1992-05-26
13.0,1992-05-27
13.5,1992-05-28
13.75,1992-05-29
13.75,1992-06-01
13.5,1992-06-02
13.25,1992-06-03
12.625,1992-06-04
12.75,1992-06-05
12.25,1992-06-08
12.125,1992-06-09
12.0,1992-06-10
11.75,1992-06-11
12.25,1992-06-12
12.0,1992-06-15
11.5,1992-06-16
10.875,1992-06-17
10.5,1992-06-18
10.75,1992-06-19
10.0,1992-06-22
10.75,1992-06-23
10.75,1992-06-24
10.75,1992-06-25
11.0,1992-06-26
11.125,1992-06-29
11.25,1992-06-30
11.0,1992-07-01
10.875,1992-07-02
10.5,1992-07-06
10.5,1992-07-07
10.25,1992-07-08
11.25,1992-07-09
11.0,1992-07-10
11.375,1992-07-13
11.75,1992-07-14
11.0,1992-07-15
11.25,1992-07-16
11.5,1992-07-17
12.0,1992-07-20
11.75,1992-07-21
11.25,1992-07-22
11.75,1992-07-23
10.875,1992-07-24
11.25,1992-07-27
12.375,1992-07-28
12.5,1992-07-29
12.5,1992-07-30
12.5,1992-07-31
11.75,1992-08-03
12.5,1992-08-04
11.5,1992-08-05
12.25,1992-08-06
12.375,1992-08-07
12.25,1992-08-10
11.75,1992-08-11
11.75,1992-08-12
12.0,1992-08-13
11.75,1992-08-14
12.0,1992-08-17
11.5,1992-08-18
11.25,1992-08-19
11.0,1992-08-20
10.875,1992-08-21
10.5,1992-08-24
8.75,1992-08-25
8.375,1992-08-26
8.75,1992-08-27
8.25,1992-08-28
8.25,1992-08-31
8.75,1992-09-01
9.0,1992-09-02
8.75,1992-09-03
9.25,1992-09-04
9.0,1992-09-08
8.75,1992-09-09
8.625,1992-09-10
9.0,1992-09-11
8.5,1992-09-14
8.75,1992-09-15
9.0,1992-09-16
9.5,1992-09-17
9.5,1992-09-18
9.75,1992-09-21
9.25,1992-09-22
9.5,1992-09-23
9.125,1992-09-24
8.5,1992-09-25
8.625,1992-09-28
8.5,1992-09-29
8.5,1992-09-30
8.875,1992-10-01
8.75,1992-10-02
9.0,1992-10-05
8.75,1992-10-06
8.5,1992-10-07
8.125,1992-10-08
8.375,1992-10-09
8.375,1992-10-12
8.125,1992-10-13
8.5,1992-10-14
8.0,1992-10-15
8.125,1992-10-16
8.0,1992-10-19
8.25,1992-10-20
8.75,1992-10-21
8.5,1992-10-22
8.25,1992-10-23
8.625,1992-10-26
8.875,1992-10-27
8.875,1992-10-28
8.75,1992-10-29
8.75,1992-10-30
8.75,1992-11-02
8.5,1992-11-03
8.5,1992-11-04
8.5,1992-11-05
8.75,1992-11-06
10.0,1992-11-09
10.25,1992-11-10
11.0,1992-11-11
10.75,1992-11-12
11.25,1992-11-13
12.75,1992-11-16
13.125,1992-11-17
13.125,1992-11-18
13.0,1992-11-19
13.5,1992-11-20
14.0,1992-11-23
14.25,1992-11-24
13.75,1992-11-25
13.5,1992-11-27
14.0,1992-11-30
13.75,1992-12-01
14.0,1992-12-02
13.5,1992-12-03
14.25,1992-12-04
13.625,1992-12-07
14.25,1992-12-08
13.375,1992-12-09
13.5,1992-12-10
12.0,1992-12-11
12.25,1992-12-14
11.75,1992-12-15
12.25,1992-12-16
12.25,1992-12-17
12.25,1992-12-18
11.75,1992-12-21
11.75,1992-12-22
10.75,1992-12-23
11.0,1992-12-24
10.5,1992-12-28
11.0,1992-12-29
11.5,1992-12-30
12.0,1992-12-31
12.0,1993-01-04
14.75,1993-01-05
16.0,1993-01-06
15.5,1993-01-07
15.0,1993-01-08
15.0,1993-01-11
13.75,1993-01-12
14.75,1993-01-13
15.75,1993-01-14
15.75,1993-01-15
15.25,1993-01-18
14.75,1993-01-19
13.75,1993-01-20
13.5,1993-01-21
13.75,1993-01-22
13.875,1993-01-25
13.75,1993-01-26
13.25,1993-01-27
13.25,1993-01-28
15.0,1993-01-29
16.5,1993-02-01
15.75,1993-02-02
15.5,1993-02-03
15.0,1993-02-04
14.25,1993-02-05
15.25,1993-02-08
15.0,1993-02-09
15.25,1993-02-10
15.5,1993-02-11
14.0,1993-02-12
13.0,1993-02-16
13.0,1993-02-17
13.0,1993-02-18
13.25,1993-02-19
11.0,1993-02-22
12.0,1993-02-23
13.5,1993-02-24
12.625,1993-02-25
12.75,1993-02-26
12.25,1993-03-01
15.25,1993-03-02
15.0,1993-03-03
13.75,1993-03-04
13.75,1993-03-05
13.75,1993-03-08
13.25,1993-03-09
13.5,1993-03-10
13.5,1993-03-11
13.0,1993-03-12
13.75,1993-03-15
13.375,1993-03-16
12.75,1993-03-17
13.0,1993-03-18
13.5,1993-03-19
12.75,1993-03-22
12.0,1993-03-23
11.5,1993-03-24
12.0,1993-03-25
12.0,1993-03-26
13.0,1993-03-29
14.0,1993-03-30
15.25,1993-03-31
14.5,1993-04-01
13.75,1993-04-02
13.25,1993-04-05
13.75,1993-04-06
13.25,1993-04-07
13.0,1993-04-08
12.75,1993-04-12
13.25,1993-04-13
12.75,1993-04-14
12.75,1993-04-15
13.5,1993-04-16
14.375,1993-04-19
14.5,1993-04-20
14.75,1993-04-21
15.0,1993-04-22
14.875,1993-04-23
15.0,1993-04-26
15.25,1993-04-27
15.5,1993-04-28
16.25,1993-04-29
15.0,1993-04-30
14.25,1993-05-03
13.25,1993-05-04
14.75,1993-05-05
15.0,1993-05-06
16.0,1993-05-07
16.125,1993-05-10
16.0,1993-05-11
15.25,1993-05-12
15.25,1993-05-13
14.5,1993-05-14
15.5,1993-05-17
15.25,1993-05-18
14.75,1993-05-19
14.75,1993-05-20
15.25,1993-05-21
15.5,1993-05-24
15.75,1993-05-25
15.625,1993-05-26
15.75,1993-05-27
15.375,1993-05-28
15.625,1993-06-01
16.0,1993-06-02
16.25,1993-06-03
15.5,1993-06-04
15.75,1993-06-07
15.25,1993-06-08
15.25,1993-06-09
15.25,1993-06-10
15.25,1993-06-11
15.75,1993-06-14
16.0,1993-06-15
16.125,1993-06-16
16.25,1993-06-17
16.125,1993-06-18
16.0,1993-06-21
15.875,1993-06-22
16.25,1993-06-23
16.0,1993-06-24
16.25,1993-06-25
16.0,1993-06-28
16.5,1993-06-29
16.5,1993-06-30
17.0,1993-07-01
16.75,1993-07-02
17.25,1993-07-06
17.0,1993-07-07
17.0,1993-07-08
18.0,1993-07-09
18.5,1993-07-12
17.75,1993-07-13
18.125,1993-07-14
19.0,1993-07-15
19.75,1993-07-16
21.5,1993-07-19
19.25,1993-07-20
19.75,1993-07-21
20.0,1993-07-22
19.5,1993-07-23
19.5,1993-07-26
17.75,1993-07-27
18.0,1993-07-28
18.0,1993-07-29
18.25,1993-07-30
18.625,1993-08-02
18.5,1993-08-03
18.5,1993-08-04
18.5,1993-08-05
19.75,1993-08-06
18.625,1993-08-09
16.125,1993-08-10
15.75,1993-08-11
15.375,1993-08-12
15.5,1993-08-13
16.0,1993-08-16
16.5,1993-08-17
16.75,1993-08-18
16.5,1993-08-19
16.625,1993-08-20
15.75,1993-08-23
15.0,1993-08-24
15.0,1993-08-25
15.375,1993-08-26
15.5,1993-08-27
16.375,1993-08-30
16.0,1993-08-31
16.625,1993-09-01
17.5,1993-09-02
18.125,1993-09-03
16.75,1993-09-07
16.125,1993-09-08
16.5,1993-09-09
16.5,1993-09-10
15.375,1993-09-13
15.25,1993-09-14
15.375,1993-09-15
15.125,1993-09-16
14.625,1993-09-17
13.75,1993-09-20
14.0,1993-09-21
14.5,1993-09-22
14.75,1993-09-23
14.875,1993-09-24
15.25,1993-09-27
15.5,1993-09-28
15.875,1993-09-29
15.5,1993-09-30
15.125,1993-10-01
15.0,1993-10-04
14.875,1993-10-05
15.5,1993-10-06
16.125,1993-10-07
16.875,1993-10-08
16.875,1993-10-11
17.25,1993-10-12
17.5,1993-10-13
17.125,1993-10-14
17.625,1993-10-15
17.125,1993-10-18
15.875,1993-10-19
15.75,1993-10-20
17.125,1993-10-21
17.25,1993-10-22
17.375,1993-10-25
17.25,1993-10-26
17.5,1993-10-27
17.5,1993-10-28
18.25,1993-10-29
18.25,1993-11-01
18.0,1993-11-02
17.75,1993-11-03
17.0,1993-11-04
16.5,1993-11-05
17.125,1993-11-08
17.5,1993-11-09
17.25,1993-11-10
17.125,1993-11-11
16.625,1993-11-12
16.5,1993-11-15
16.25,1993-11-16
15.25,1993-11-17
15.25,1993-11-18
15.125,1993-11-19
14.625,1993-11-22
14.875,1993-11-23
14.625,1993-11-24
14.625,1993-11-26
14.75,1993-11-29
14.75,1993-11-30
15.5,1993-12-01
15.5,1993-12-02
15.375,1993-12-03
15.125,1993-12-06
15.125,1993-12-07
15.0,1993-12-08
14.625,1993-12-09
14.75,1993-12-10
14.625,1993-12-13
14.625,1993-12-14
14.75,1993-12-15
14.75,1993-12-16
15.625,1993-12-17
16.5,1993-12-20
16.625,1993-12-21
16.0,1993-12-22
15.5,1993-12-23
15.75,1993-12-27
15.75,1993-12-28
15.5,1993-12-29
15.75,1993-12-30
15.5,1993-12-31
15.25,1994-01-03
15.0,1994-01-04
15.625,1994-01-05
16.125,1994-01-06
16.375,1994-01-07
16.25,1994-01-10
16.375,1994-01-11
16.5,1994-01-12
17.125,1994-01-13
17.25,1994-01-14
17.0,1994-01-17
16.875,1994-01-18
15.875,1994-01-19
15.625,1994-01-20
16.0,1994-01-21
15.0,1994-01-24
15.375,1994-01-25
15.375,1994-01-26
15.875,1994-01-27
15.75,1994-01-28
15.875,1994-01-31
15.25,1994-02-01
15.375,1994-02-02
15.125,1994-02-03
14.75,1994-02-04
14.5,1994-02-07
14.375,1994-02-08
14.5,1994-02-09
14.5,1994-02-10
13.75,1994-02-11
13.625,1994-02-14
13.875,1994-02-15
14.0,1994-02-16
13.75,1994-02-17
14.125,1994-02-18
14.375,1994-02-22
14.5,1994-02-23
14.0,1994-02-24
14.0,1994-02-25
14.0,1994-02-28
13.75,1994-03-01
12.875,1994-03-02
12.875,1994-03-03
13.25,1994-03-04
13.75,1994-03-07
13.75,1994-03-08
13.875,1994-03-09
14.0,1994-03-10
13.625,1994-03-11
13.125,1994-03-14
8.75,1994-03-15
7.75,1994-03-16
8.125,1994-03-17
8.125,1994-03-18
7.0,1994-03-21
6.75,1994-03-22
7.125,1994-03-23
7.0,1994-03-24
7.0,1994-03-25
7.125,1994-03-28
6.875,1994-03-29
6.75,1994-03-30
6.875,1994-03-31
6.375,1994-04-04
6.5,1994-04-05
6.5,1994-04-06
7.875,1994-04-07
7.0625,1994-04-08
7.125,1994-04-11
7.375,1994-04-12
7.5,1994-04-13
7.875,1994-04-14
7.625,1994-04-15
7.5,1994-04-18
7.0,1994-04-19
7.125,1994-04-20
7.25,1994-04-21
7.125,1994-04-22
7.125,1994-04-25
7.125,1994-04-26
7.5,1994-04-28
7.875,1994-04-29
8.3125,1994-05-02
8.0,1994-05-03
8.0,1994-05-04
7.5,1994-05-05
7.75,1994-05-06
7.0,1994-05-09
6.75,1994-05-10
6.625,1994-05-11
6.625,1994-05-12
6.5,1994-05-13
6.125,1994-05-16
6.25,1994-05-17
6.125,1994-05-18
6.0,1994-05-19
6.625,1994-05-20
6.5,1994-05-23
6.625,1994-05-24
6.5,1994-05-25
6.5,1994-05-26
6.375,1994-05-27
6.375,1994-05-31
6.75,1994-06-01
7.0625,1994-06-02
7.5,1994-06-03
7.6875,1994-06-06
7.625,1994-06-07
7.5,1994-06-08
7.0625,1994-06-09
7.0,1994-06-10
6.5,1994-06-13
6.5625,1994-06-14
6.3125,1994-06-15
6.375,1994-06-16
6.0,1994-06-17
5.5,1994-06-20
5.625,1994-06-21
5.25,1994-06-22
4.375,1994-06-23
4.375,1994-06-24
4.625,1994-06-27
4.4375,1994-06-28
4.5,1994-06-29
4.5,1994-06-30
4.0,1994-07-01
4.0,1994-07-05
4.1875,1994-07-06
4.125,1994-07-07
4.0,1994-07-08
4.125,1994-07-11
4.0,1994-07-12
3.875,1994-07-13
3.9375,1994-07-14
3.875,1994-07-15
4.125,1994-07-18
4.0,1994-07-19
4.5,1994-07-20
4.3125,1994-07-21
4.25,1994-07-22
4.125,1994-07-25
4.375,1994-07-26
4.25,1994-07-27
3.875,1994-07-28
3.875,1994-07-29
3.625,1994-08-01
3.5625,1994-08-02
3.875,1994-08-03
3.8125,1994-08-04
3.625,1994-08-05
4.0,1994-08-08
3.75,1994-08-09
4.125,1994-08-10
4.125,1994-08-11
4.25,1994-08-12
4.0,1994-08-15
4.25,1994-08-16
4.25,1994-08-17
4.0,1994-08-18
4.0625,1994-08-19
4.0,1994-08-22
4.0,1994-08-23
3.875,1994-08-24
4.0,1994-08-25
4.125,1994-08-26
4.0,1994-08-29
4.0,1994-08-30
4.125,1994-08-31
4.0,1994-09-01
4.0,1994-09-02
4.0,1994-09-06
3.875,1994-09-07
4.375,1994-09-08
4.375,1994-09-09
4.25,1994-09-12
4.25,1994-09-13
4.0,1994-09-14
4.125,1994-09-15
4.5,1994-09-16
4.5,1994-09-19
4.125,1994-09-20
4.625,1994-09-21
4.625,1994-09-22
5.171875,1994-09-23
5.0,1994-09-26
5.125,1994-09-27
5.1875,1994-09-28
5.125,1994-09-29
4.875,1994-09-30
5.0,1994-10-03
4.625,1994-10-04
4.75,1994-10-05
4.75,1994-10-06
4.75,1994-10-07
4.6875,1994-10-10
4.75,1994-10-11
4.75,1994-10-12
4.75,1994-10-13
4.25,1994-10-14
4.375,1994-10-17
4.375,1994-10-18
4.25,1994-10-19
4.125,1994-10-20
4.25,1994-10-21
4.0,1994-10-24
3.9375,1994-10-25
3.75,1994-10-26
3.75,1994-10-27
4.0625,1994-10-28
4.0625,1994-10-31
4.25,1994-11-01
4.125,1994-11-02
4.125,1994-11-03
4.0,1994-11-04
4.125,1994-11-07
4.0,1994-11-08
3.75,1994-11-09
3.625,1994-11-10
3.75,1994-11-11
4.0,1994-11-14
3.75,1994-11-15
3.875,1994-11-16
4.0,1994-11-17
4.375,1994-11-18
4.375,1994-11-21
4.375,1994-11-22
4.5,1994-11-23
4.5,1994-11-25
4.125,1994-11-28
4.125,1994-11-29
4.25,1994-11-30
4.125,1994-12-01
3.875,1994-12-02
3.9375,1994-12-05
4.125,1994-12-06
4.0,1994-12-07
3.75,1994-12-08
4.0,1994-12-09
3.625,1994-12-12
3.375,1994-12-13
3.375,1994-12-14
3.375,1994-12-15
3.5,1994-12-16
3.5625,1994-12-19
3.375,1994-12-20
3.375,1994-12-21
3.5,1994-12-22
3.4375,1994-12-23
3.375,1994-12-27
3.125,1994-12-28
3.1875,1994-12-29
3.0,1994-12-30
3.3125,1995-01-03
3.5,1995-01-04
3.5,1995-01-05
3.5,1995-01-06
4.6875,1995-01-09
6.375,1995-01-10
6.875,1995-01-11
6.25,1995-01-12
6.125,1995-01-13
6.5,1995-01-16
6.75,1995-01-17
6.875,1995-01-18
7.0,1995-01-19
7.0,1995-01-20
7.0,1995-01-23
7.0,1995-01-24
6.875,1995-01-25
6.625,1995-01-26
6.125,1995-01-27
6.5,1995-01-30
6.625,1995-01-31
6.75,1995-02-01
6.625,1995-02-02
6.875,1995-02-03
7.0,1995-02-06
6.875,1995-02-07
7.0,1995-02-08
7.0,1995-02-09
7.0,1995-02-10
7.0,1995-02-13
7.0625,1995-02-14
7.0,1995-02-15
7.0,1995-02-16
6.75,1995-02-17
6.75,1995-02-21
6.5,1995-02-22
6.5625,1995-02-23
6.1875,1995-02-24
6.125,1995-02-27
6.25,1995-02-28
5.875,1995-03-01
5.75,1995-03-02
5.875,1995-03-03
6.0,1995-03-06
6.0,1995-03-07
6.0,1995-03-08
5.625,1995-03-09
6.0,1995-03-10
6.0,1995-03-13
5.75,1995-03-14
5.625,1995-03-15
5.75,1995-03-16
5.875,1995-03-17
5.875,1995-03-20
6.125,1995-03-21
6.25,1995-03-22
6.125,1995-03-23
6.25,1995-03-24
6.25,1995-03-27
6.0,1995-03-28
6.375,1995-03-29
6.375,1995-03-30
6.25,1995-03-31
6.375,1995-04-03
6.75,1995-04-04
7.0,1995-04-05
6.875,1995-04-06
6.75,1995-04-07
7.0,1995-04-10
7.0,1995-04-11
6.75,1995-04-12
6.75,1995-04-13
7.0,1995-04-17
6.3125,1995-04-18
6.0,1995-04-19
6.25,1995-04-20
6.125,1995-04-21
6.375,1995-04-24
6.375,1995-04-25
6.125,1995-04-26
6.375,1995-04-27
6.375,1995-04-28
6.375,1995-05-01
6.25,1995-05-02
6.25,1995-05-03
6.5,1995-05-04
6.25,1995-05-05
6.375,1995-05-08
6.25,1995-05-09
6.375,1995-05-10
6.375,1995-05-11
6.5,1995-05-12
6.25,1995-05-15
6.25,1995-05-16
6.25,1995-05-17
6.125,1995-05-18
6.125,1995-05-19
6.0,1995-05-22
6.0,1995-05-23
5.875,1995-05-24
5.875,1995-05-25
5.875,1995-05-26
6.0,1995-05-30
6.125,1995-05-31
6.125,1995-06-01
5.5,1995-06-02
5.5,1995-06-05
5.75,1995-06-06
6.875,1995-06-07
7.5,1995-06-08
8.1875,1995-06-09
8.5,1995-06-12
8.0,1995-06-13
8.25,1995-06-14
8.625,1995-06-15
8.875,1995-06-16
9.25,1995-06-19
9.375,1995-06-20
9.25,1995-06-21
9.25,1995-06-22
9.0,1995-06-23
8.875,1995-06-26
8.25,1995-06-27
9.0,1995-06-28
9.125,1995-06-29
9.0,1995-06-30
9.125,1995-07-03
9.125,1995-07-05
9.0,1995-07-06
9.0,1995-07-07
8.875,1995-07-10
9.125,1995-07-11
9.375,1995-07-12
9.5,1995-07-13
9.5,1995-07-14
9.625,1995-07-17
9.515625,1995-07-18
9.25,1995-07-19
9.0,1995-07-20
9.0,1995-07-21
9.125,1995-07-24
9.125,1995-07-25
11.25,1995-07-26
11.875,1995-07-27
11.625,1995-07-28
13.0625,1995-07-31
12.75,1995-08-01
12.25,1995-08-02
12.0,1995-08-03
12.25,1995-08-04
11.875,1995-08-07
11.625,1995-08-08
12.125,1995-08-09
13.0625,1995-08-10
13.0625,1995-08-11
13.0,1995-08-14
12.375,1995-08-15
13.125,1995-08-16
13.0,1995-08-17
12.625,1995-08-18
12.75,1995-08-21
12.875,1995-08-22
14.0625,1995-08-23
14.0625,1995-08-24
14.875,1995-08-25
14.375,1995-08-28
14.625,1995-08-29
14.5,1995-08-30
15.375,1995-08-31
15.5,1995-09-01
16.375,1995-09-05
16.5,1995-09-06
15.875,1995-09-07
15.75,1995-09-08
16.0,1995-09-11
16.0,1995-09-12
15.5,1995-09-13
14.125,1995-09-14
12.5,1995-09-15
13.75,1995-09-18
15.6875,1995-09-19
15.125,1995-09-20
15.5,1995-09-21
15.0,1995-09-22
14.875,1995-09-25
14.875,1995-09-26
15.0,1995-09-27
15.75,1995-09-28
15.625,1995-09-29
15.625,1995-10-02
15.0,1995-10-03
14.75,1995-10-04
14.625,1995-10-05
14.5,1995-10-06
13.9375,1995-10-09
13.25,1995-10-10
13.375,1995-10-11
13.625,1995-10-12
14.0,1995-10-13
13.75,1995-10-16
13.5,1995-10-17
13.25,1995-10-18
13.25,1995-10-19
13.125,1995-10-20
14.375,1995-10-23
13.5,1995-10-24
13.25,1995-10-25
13.25,1995-10-26
12.4375,1995-10-27
13.0,1995-10-30
12.875,1995-10-31
12.0625,1995-11-01
12.25,1995-11-02
12.4375,1995-11-03
12.0,1995-11-06
11.9375,1995-11-07
11.375,1995-11-08
10.25,1995-11-09
10.3125,1995-11-10
10.5,1995-11-13
10.375,1995-11-14
10.25,1995-11-15
10.0,1995-11-16
10.25,1995-11-17
10.0,1995-11-20
10.0,1995-11-21
8.875,1995-11-22
9.5,1995-11-24
10.0,1995-11-27
10.625,1995-11-28
10.75,1995-11-29
11.125,1995-11-30
11.5,1995-12-01
12.125,1995-12-04
12.75,1995-12-05
13.0,1995-12-06
13.8125,1995-12-07
13.875,1995-12-08
13.875,1995-12-11
13.875,1995-12-12
13.625,1995-12-13
12.875,1995-12-14
12.875,1995-12-15
12.875,1995-12-18
12.875,1995-12-19
12.125,1995-12-20
12.375,1995-12-21
12.5,1995-12-22
13.0,1995-12-26
13.625,1995-12-27
12.875,1995-12-28
12.75,1995-12-29
13.25,1996-01-02
12.5,1996-01-03
12.0,1996-01-04
12.875,1996-01-05
12.875,1996-01-08
12.625,1996-01-09
12.5,1996-01-10
12.625,1996-01-11
12.625,1996-01-12
11.875,1996-01-15
12.625,1996-01-16
13.0,1996-01-17
13.625,1996-01-18
13.5,1996-01-19
14.5,1996-01-22
15.8125,1996-01-23
16.125,1996-01-24
15.375,1996-01-25
14.5,1996-01-26
15.5,1996-01-29
15.25,1996-01-30
15.25,1996-01-31
14.515625,1996-02-01
14.75,1996-02-02
14.75,1996-02-05
15.25,1996-02-06
15.625,1996-02-07
14.75,1996-02-08
14.625,1996-02-09
14.625,1996-02-12
14.625,1996-02-13
14.375,1996-02-14
14.125,1996-02-15
14.125,1996-02-16
13.125,1996-02-20
13.25,1996-02-21
13.375,1996-02-22
12.5,1996-02-23
12.0,1996-02-26
12.375,1996-02-27
12.0,1996-02-28
12.0,1996-02-29
12.125,1996-03-01
13.5,1996-03-04
13.875,1996-03-05
13.875,1996-03-06
13.875,1996-03-07
12.5,1996-03-08
13.4375,1996-03-11
13.375,1996-03-12
13.375,1996-03-13
13.5,1996-03-14
13.875,1996-03-15
13.625,1996-03-18
13.625,1996-03-19
12.5,1996-03-20
13.125,1996-03-21
13.0,1996-03-22
13.0,1996-03-25
13.0625,1996-03-26
12.4375,1996-03-27
12.625,1996-03-28
12.75,1996-03-29
12.75,1996-04-01
