Date,ALXN
2003-08-14,3.2725
2003-08-15,3.375
2003-08-18,3.575
2003-08-19,3.725
2003-08-20,3.69
2003-08-21,3.7325
2003-08-22,3.6025
2003-08-25,3.5725
2003-08-26,3.4375
2003-08-27,3.5025
2003-08-28,3.5325
2003-08-29,3.5225
2003-09-02,3.55
2003-09-03,3.5375
2003-09-04,3.775
2003-09-05,3.75
2003-09-08,3.875
2003-09-09,3.93
2003-09-10,3.635
2003-09-11,3.625
2003-09-12,3.7775
2003-09-15,3.8525
2003-09-16,4.0225
2003-09-17,4.0325
2003-09-18,4.1375
2003-09-19,4.375
2003-09-22,4.3325
2003-09-23,4.4175
2003-09-24,4.25
2003-09-25,4.225
2003-09-26,4.1275
2003-09-29,4.1125
2003-09-30,4.2325
2003-10-01,4.4175
2003-10-02,5.0
2003-10-03,5.0725
2003-10-06,4.95
2003-10-07,5.23
2003-10-08,4.94
2003-10-09,5.125
2003-10-10,5.06
2003-10-13,5.13
2003-10-14,5.0875
2003-10-15,4.79
2003-10-16,4.82
2003-10-17,4.5025
2003-10-20,4.6
2003-10-21,4.6275
2003-10-22,4.3525
2003-10-23,4.3475
2003-10-24,4.5225
2003-10-27,4.4125
2003-10-28,4.54
2003-10-29,4.67
2003-10-30,4.4575
2003-10-31,4.625
2003-11-03,4.5575
2003-11-04,4.7975
2003-11-05,4.865
2003-11-06,4.775
2003-11-07,4.51
2003-11-10,4.1625
2003-11-11,4.3025
2003-11-12,4.4
2003-11-13,4.5825
2003-11-14,4.35
2003-11-17,4.1225
2003-11-18,4.24
2003-11-19,4.225
2003-11-20,4.275
2003-11-21,4.285
2003-11-24,4.6925
2003-11-25,4.6
2003-11-26,4.655
2003-11-28,4.69
2003-12-01,4.9425
2003-12-02,5.0275
2003-12-03,4.675
2003-12-04,4.75
2003-12-05,4.725
2003-12-08,4.6
2003-12-09,4.5125
2003-12-10,4.38
2003-12-11,4.5125
2003-12-12,4.485
2003-12-15,4.305
2003-12-16,4.2625
2003-12-17,4.25
2003-12-18,4.215
2003-12-19,4.2125
2003-12-22,4.235
2003-12-23,4.2475
2003-12-24,4.2675
2003-12-26,4.2525
2003-12-29,4.3375
2003-12-30,4.2625
2003-12-31,4.2525
2004-01-02,4.3125
2004-01-05,4.385
2004-01-06,4.325
2004-01-07,4.455
2004-01-08,4.545
2004-01-09,4.6525
2004-01-12,4.6
2004-01-13,4.5175
2004-01-14,4.6
2004-01-15,4.7175
2004-01-16,4.7075
2004-01-20,4.75
2004-01-21,4.775
2004-01-22,4.55
2004-01-23,4.67
2004-01-26,4.7625
2004-01-27,4.785
2004-01-28,4.63
2004-01-29,4.5675
2004-01-30,4.54
2004-02-02,4.725
2004-02-03,5.325
2004-02-04,4.8675
2004-02-05,5.005
2004-02-06,5.09
2004-02-09,5.2575
2004-02-10,5.5925
2004-02-11,5.6125
2004-02-12,5.48
2004-02-13,5.5025
2004-02-17,5.48
2004-02-18,5.5125
2004-02-19,5.35
2004-02-20,5.5
2004-02-23,5.5525
2004-02-24,5.8225
2004-02-25,5.7275
2004-02-26,5.75
2004-02-27,5.7175
2004-03-01,5.725
2004-03-02,6.05
2004-03-03,6.135
2004-03-04,6.1625
2004-03-05,6.355
2004-03-08,6.375
2004-03-09,6.0825
2004-03-10,5.7325
2004-03-11,5.635
2004-03-12,6.105
2004-03-15,5.73
2004-03-16,5.67
2004-03-17,5.7675
2004-03-18,5.8425
2004-03-19,5.5725
2004-03-22,5.4225
2004-03-23,5.54
2004-03-24,5.2425
2004-03-25,5.5725
2004-03-26,5.515
2004-03-29,5.875
2004-03-30,5.9875
2004-03-31,5.9425
2004-04-01,6.0
2004-04-02,5.9575
2004-04-05,6.125
2004-04-06,5.865
2004-04-07,5.98
2004-04-08,5.8775
2004-04-12,5.8775
2004-04-13,5.7025
2004-04-14,5.725
2004-04-15,5.895
2004-04-16,5.935
2004-04-19,6.0225
2004-04-20,5.8475
2004-04-21,5.9475
2004-04-22,6.12
2004-04-23,6.0875
2004-04-26,6.18
2004-04-27,6.1475
2004-04-28,6.02
2004-04-29,5.945
2004-04-30,5.63
2004-05-03,5.7
2004-05-04,5.6175
2004-05-05,5.68
2004-05-06,5.5575
2004-05-07,5.4375
2004-05-10,5.24
2004-05-11,5.24
2004-05-12,5.25
2004-05-13,5.22
2004-05-14,5.2225
2004-05-17,5.09
2004-05-18,5.17
2004-05-19,5.0675
2004-05-20,4.98
2004-05-21,4.9825
2004-05-24,4.965
2004-05-25,5.125
2004-05-26,5.2075
2004-05-27,5.1175
2004-05-28,5.0125
2004-06-01,5.1875
2004-06-02,5.1575
2004-06-03,5.0025
2004-06-04,5.02
2004-06-07,5.1375
2004-06-08,4.7825
2004-06-09,4.48
2004-06-10,4.445
2004-06-14,4.45
2004-06-15,4.475
2004-06-16,4.48
2004-06-17,4.4875
2004-06-18,4.575
2004-06-21,4.57
2004-06-22,4.5475
2004-06-23,4.7975
2004-06-24,4.78
2004-06-25,4.8025
2004-06-28,4.6375
2004-06-29,4.6125
2004-06-30,4.65
2004-07-01,4.55
2004-07-02,4.5225
2004-07-06,4.42
2004-07-07,4.3275
2004-07-08,4.195
2004-07-09,4.2225
2004-07-12,4.16
2004-07-13,4.1
2004-07-14,4.0875
2004-07-15,4.1025
2004-07-16,3.92
2004-07-19,4.015
2004-07-20,4.2
2004-07-21,3.975
2004-07-22,3.9975
2004-07-23,3.91
2004-07-26,3.8
2004-07-27,3.8625
2004-07-28,3.9625
2004-07-29,3.92
2004-07-30,3.98
2004-08-02,3.9275
2004-08-03,3.855
2004-08-04,3.745
2004-08-05,3.64
2004-08-06,3.3925
2004-08-09,3.4
2004-08-10,3.63
2004-08-11,3.765
2004-08-12,3.765
2004-08-13,3.77
2004-08-16,3.8325
2004-08-17,3.9325
2004-08-18,4.115
2004-08-19,3.9
2004-08-20,4.07
2004-08-23,3.9175
2004-08-24,4.0475
2004-08-25,4.125
2004-08-26,4.0
2004-08-27,4.155
2004-08-30,4.0175
2004-08-31,4.09
2004-09-01,4.0325
2004-09-02,4.085
2004-09-03,3.935
2004-09-07,4.0375
2004-09-08,4.025
2004-09-09,4.1025
2004-09-10,4.245
2004-09-13,4.3825
2004-09-14,4.4425
2004-09-15,4.4625
2004-09-16,4.5775
2004-09-17,4.51
2004-09-20,4.465
2004-09-21,4.6
2004-09-22,4.315
2004-09-23,4.2925
2004-09-24,4.4825
2004-09-27,4.2775
2004-09-28,4.5025
2004-09-29,4.52
2004-09-30,4.5
2004-10-01,4.6825
2004-10-04,4.71
2004-10-05,4.55
2004-10-06,4.7225
2004-10-07,4.475
2004-10-08,4.435
2004-10-11,4.5875
2004-10-12,4.5025
2004-10-13,4.2775
2004-10-14,4.2425
2004-10-15,4.36
2004-10-18,4.515
2004-10-19,4.35
2004-10-20,4.3325
2004-10-21,4.34
2004-10-22,4.245
2004-10-25,4.2225
2004-10-26,4.335
2004-10-27,4.54
2004-10-28,4.515
2004-10-29,4.4625
2004-11-01,4.555
2004-11-02,4.3675
2004-11-03,4.5225
2004-11-04,4.815
2004-11-05,4.9975
2004-11-08,5.045
2004-11-09,5.0775
2004-11-10,5.2125
2004-11-11,5.1775
2004-11-12,5.28
2004-11-15,5.27
2004-11-16,5.1625
2004-11-17,5.185
2004-11-18,5.17
2004-11-19,4.9875
2004-11-22,5.2025
2004-11-23,5.205
2004-11-24,5.16
2004-11-26,5.0925
2004-11-29,5.0625
2004-11-30,5.17
2004-12-01,5.2925
2004-12-02,5.2675
2004-12-03,5.5
2004-12-06,5.6025
2004-12-07,5.535
2004-12-08,5.625
2004-12-09,5.585
2004-12-10,5.5525
2004-12-13,5.7475
2004-12-14,5.9575
2004-12-15,6.14
2004-12-16,6.1275
2004-12-17,6.225
2004-12-20,6.23
2004-12-21,6.14
2004-12-22,6.095
2004-12-23,6.1125
2004-12-27,6.0825
2004-12-28,6.22
2004-12-29,6.2675
2004-12-30,6.2875
2004-12-31,6.3
2005-01-03,6.0925
2005-01-04,5.86
2005-01-05,5.8425
2005-01-06,6.0
2005-01-07,5.9325
2005-01-10,5.9575
2005-01-11,5.8025
2005-01-12,5.755
2005-01-13,5.6575
2005-01-14,5.6625
2005-01-18,6.12
2005-01-19,5.825
2005-01-20,5.765
2005-01-21,5.835
2005-01-24,5.9425
2005-01-25,5.94
2005-01-26,6.0275
2005-01-27,6.0875
2005-01-28,6.1575
2005-01-31,6.185
2005-02-01,6.285
2005-02-02,6.505
2005-02-03,6.4725
2005-02-04,6.725
2005-02-07,6.5175
2005-02-08,6.535
2005-02-09,6.045
2005-02-10,6.07
2005-02-11,6.24
2005-02-14,6.25
2005-02-15,6.2675
2005-02-16,6.2
2005-02-17,6.1225
2005-02-18,6.0325
2005-02-22,5.7725
2005-02-23,5.8525
2005-02-24,5.8625
2005-02-25,5.9725
2005-02-28,5.8375
2005-03-01,5.6775
2005-03-02,5.5325
2005-03-03,5.48
2005-03-04,5.275
2005-03-07,5.2525
2005-03-08,5.135
2005-03-09,5.095
2005-03-10,5.0875
2005-03-11,5.08
2005-03-14,5.4725
2005-03-15,5.3925
2005-03-16,5.34
2005-03-17,5.3125
2005-03-18,5.285
2005-03-21,5.36
2005-03-22,5.375
2005-03-23,5.4925
2005-03-24,5.525
2005-03-28,5.41
2005-03-29,5.2275
2005-03-30,5.385
2005-03-31,5.4175
2005-04-01,5.235
2005-04-04,5.02
2005-04-05,5.0575
2005-04-06,5.125
2005-04-07,5.15
2005-04-08,5.13
2005-04-11,5.135
2005-04-12,5.3
2005-04-13,5.2725
2005-04-14,5.165
2005-04-15,5.1175
2005-04-18,5.105
2005-04-19,5.25
2005-04-20,5.17
2005-04-21,5.3325
2005-04-22,5.3525
2005-04-25,5.32
2005-04-26,5.315
2005-04-27,5.26
2005-04-28,5.1725
2005-04-29,5.185
2005-05-02,5.1625
2005-05-03,5.215
2005-05-04,5.2875
2005-05-05,5.4175
2005-05-06,5.4625
2005-05-09,5.77
2005-05-10,5.6975
2005-05-11,5.7025
2005-05-12,5.6075
2005-05-13,5.8075
2005-05-16,5.9475
2005-05-17,5.835
2005-05-18,5.875
2005-05-19,5.95
2005-05-20,5.7625
2005-05-23,5.675
2005-05-24,5.7025
2005-05-25,5.63
2005-05-26,5.675
2005-05-27,5.75
2005-05-31,5.6875
2005-06-01,5.69
2005-06-02,5.65
2005-06-03,5.795
2005-06-06,5.595
2005-06-07,5.47
2005-06-08,5.4325
2005-06-09,5.495
2005-06-10,5.4375
2005-06-13,5.48
2005-06-14,5.5
2005-06-15,5.44
2005-06-16,5.645
2005-06-17,5.685
2005-06-20,5.825
2005-06-21,5.8675
2005-06-22,5.9275
2005-06-23,5.785
2005-06-24,5.8425
2005-06-27,5.805
2005-06-28,5.925
2005-06-29,5.78
2005-06-30,5.76
2005-07-01,5.9
2005-07-05,5.88
2005-07-06,5.915
2005-07-07,5.9925
2005-07-08,6.2625
2005-07-11,6.2325
2005-07-12,6.22
2005-07-13,6.09
2005-07-14,6.2075
2005-07-15,6.4325
2005-07-18,6.3375
2005-07-19,6.305
2005-07-20,6.605
2005-07-21,6.5675
2005-07-22,6.575
2005-07-25,6.475
2005-07-26,6.555
2005-07-27,6.4625
2005-07-28,6.615
2005-07-29,6.51
2005-08-01,6.56
2005-08-02,6.89
2005-08-03,6.8075
2005-08-04,6.7425
2005-08-05,6.5675
2005-08-08,6.435
2005-08-09,6.5675
2005-08-10,6.875
2005-08-11,6.83
2005-08-12,6.75
2005-08-15,6.845
2005-08-16,6.775
2005-08-17,6.7075
2005-08-18,6.6175
2005-08-19,6.6025
2005-08-22,6.655
2005-08-23,6.6925
2005-08-24,6.9825
2005-08-25,7.0425
2005-08-26,6.9375
2005-08-29,7.07
2005-08-30,7.165
2005-08-31,7.15
2005-09-01,7.265
2005-09-02,7.1425
2005-09-06,7.305
2005-09-07,7.42
2005-09-08,7.3825
2005-09-09,7.4975
2005-09-12,7.455
2005-09-13,7.43
2005-09-14,7.34
2005-09-15,7.215
2005-09-16,7.1
2005-09-19,7.09
2005-09-20,7.0925
2005-09-21,6.895
2005-09-22,6.9225
2005-09-23,6.9
2005-09-26,6.91
2005-09-27,6.7525
2005-09-28,6.7475
2005-09-29,6.85
2005-09-30,6.9125
2005-10-03,7.0075
2005-10-04,7.02
2005-10-05,6.74
2005-10-06,6.645
2005-10-07,6.61
2005-10-10,6.6175
2005-10-11,6.2125
2005-10-12,6.175
2005-10-13,6.25
2005-10-14,6.5125
2005-10-17,6.4975
2005-10-18,6.525
2005-10-19,6.68
2005-10-20,6.4875
2005-10-21,6.5875
2005-10-24,6.725
2005-10-25,6.8125
2005-10-26,6.74
2005-10-27,6.7
2005-10-28,6.7275
2005-10-31,6.8475
2005-11-01,6.7525
2005-11-02,6.9225
2005-11-03,6.865
2005-11-04,6.9425
2005-11-07,7.04
2005-11-08,7.01
2005-11-09,6.8975
2005-11-10,6.8975
2005-11-11,6.825
2005-11-14,6.9525
2005-11-15,7.1675
2005-11-16,7.0975
2005-11-17,7.1225
2005-11-18,7.065
2005-11-21,7.4475
2005-11-22,7.39
2005-11-23,5.3825
2005-11-25,5.2625
2005-11-28,4.955
2005-11-29,4.655
2005-11-30,4.8775
2005-12-01,4.9125
2005-12-02,5.0025
2005-12-05,5.0875
2005-12-06,5.015
2005-12-07,4.9075
2005-12-08,4.8275
2005-12-09,4.9325
2005-12-12,4.95
2005-12-13,4.9225
2005-12-14,4.9
2005-12-15,4.975
2005-12-16,5.035
2005-12-19,4.86
2005-12-20,4.8725
2005-12-21,5.0825
2005-12-22,5.1
2005-12-23,5.15
2005-12-27,5.0475
2005-12-28,5.0
2005-12-29,5.06
2005-12-30,5.0625
2006-01-03,5.0725
2006-01-04,5.105
2006-01-05,5.0625
2006-01-06,5.1075
2006-01-09,5.18
2006-01-10,5.1625
2006-01-11,5.0875
2006-01-12,5.015
2006-01-13,5.2375
2006-01-17,5.33
2006-01-18,5.49
2006-01-19,5.4725
2006-01-20,5.3325
2006-01-23,5.495
2006-01-24,5.5025
2006-01-25,5.4875
2006-01-26,6.6
2006-01-27,7.0025
2006-01-30,7.3
2006-01-31,7.205
2006-02-01,7.6275
2006-02-02,7.6475
2006-02-03,7.66
2006-02-06,7.525
2006-02-07,7.825
2006-02-08,8.45
2006-02-09,8.5025
2006-02-10,8.5475
2006-02-13,8.425
2006-02-14,8.5275
2006-02-15,8.76
2006-02-16,8.865
2006-02-17,8.9825
2006-02-21,9.1075
2006-02-22,9.23
2006-02-23,9.2875
2006-02-24,9.555
2006-02-27,9.59
2006-02-28,9.395
2006-03-01,9.3875
2006-03-02,9.1475
2006-03-03,9.06
2006-03-06,9.0
2006-03-07,9.1525
2006-03-08,9.315
2006-03-09,9.3125
2006-03-10,9.6
2006-03-13,9.4475
2006-03-14,9.33
2006-03-15,9.335
2006-03-16,9.29
2006-03-17,9.17
2006-03-20,9.25
2006-03-21,8.8375
2006-03-22,8.7425
2006-03-23,8.725
2006-03-24,8.73
2006-03-27,8.7
2006-03-28,8.7275
2006-03-29,8.9025
2006-03-30,8.92
2006-03-31,8.855
2006-04-03,8.655
2006-04-04,8.5775
2006-04-05,8.69
2006-04-06,8.65
2006-04-07,8.5
2006-04-10,8.4875
2006-04-11,8.3075
2006-04-12,8.4625
2006-04-13,8.35
2006-04-17,8.3175
2006-04-18,8.475
2006-04-19,8.47
2006-04-20,8.5625
2006-04-21,8.6475
2006-04-24,8.69
2006-04-25,8.4275
2006-04-26,8.405
2006-04-27,8.5025
2006-04-28,8.4975
2006-05-01,8.345
2006-05-02,8.1875
2006-05-03,8.065
2006-05-04,8.1475
2006-05-05,8.2225
2006-05-08,8.2375
2006-05-09,8.255
2006-05-10,8.2175
2006-05-11,8.0725
2006-05-12,8.14
2006-05-15,7.9175
2006-05-16,7.82
2006-05-17,7.78
2006-05-18,7.525
2006-05-19,7.75
2006-05-22,7.6525
2006-05-23,7.5525
2006-05-24,7.5875
2006-05-25,7.8925
2006-05-26,8.21
2006-05-30,8.0025
2006-05-31,8.1275
2006-06-01,8.44
2006-06-02,8.4975
2006-06-05,8.2375
2006-06-06,8.16
2006-06-07,8.175
2006-06-08,8.2325
2006-06-09,8.125
2006-06-12,8.175
2006-06-13,7.95
2006-06-14,7.9875
2006-06-15,8.1325
2006-06-16,8.155
2006-06-19,8.1575
2006-06-20,8.1675
2006-06-21,8.2825
2006-06-22,8.4025
2006-06-23,8.785
2006-06-26,8.8575
2006-06-27,8.69
2006-06-28,8.7575
2006-06-29,8.9425
2006-06-30,9.03
2006-07-03,9.06
2006-07-05,9.0125
2006-07-06,8.9575
2006-07-07,8.93
2006-07-10,8.8125
2006-07-11,8.7475
2006-07-12,8.675
2006-07-13,8.525
2006-07-14,8.315
2006-07-17,8.2525
2006-07-18,8.1425
2006-07-19,8.4625
2006-07-20,8.2525
2006-07-21,8.2325
2006-07-24,8.3425
2006-07-25,8.4925
2006-07-26,8.535
2006-07-27,8.4925
2006-07-28,8.6075
2006-07-31,8.59
2006-08-01,8.625
2006-08-02,8.525
2006-08-03,8.575
2006-08-04,8.56
2006-08-07,8.4775
2006-08-08,8.1875
2006-08-09,7.9575
2006-08-10,8.02
2006-08-11,7.975
2006-08-14,7.865
2006-08-15,8.21
2006-08-16,8.3025
2006-08-17,8.375
2006-08-18,8.635
2006-08-21,8.6625
2006-08-22,8.74
2006-08-23,8.685
2006-08-24,8.765
2006-08-25,8.75
2006-08-28,9.1125
2006-08-29,9.67
2006-08-30,9.41
2006-08-31,9.3875
2006-09-01,9.3875
2006-09-05,9.225
2006-09-06,8.8525
2006-09-07,8.8075
2006-09-08,8.9175
2006-09-11,8.7725
2006-09-12,8.88
2006-09-13,8.7725
2006-09-14,8.605
2006-09-15,8.3675
2006-09-18,8.34
2006-09-19,8.3075
2006-09-20,8.355
2006-09-21,8.1975
2006-09-22,8.1525
2006-09-25,8.355
2006-09-26,8.36
2006-09-27,8.5775
2006-09-28,8.5775
2006-09-29,8.495
2006-10-02,8.71
2006-10-03,8.85
2006-10-04,9.135
2006-10-05,9.2375
2006-10-06,9.3375
2006-10-09,9.2525
2006-10-10,9.21
2006-10-11,9.12
2006-10-12,9.215
2006-10-13,9.415
2006-10-16,9.505
2006-10-17,9.6025
2006-10-18,9.4925
2006-10-19,9.38
2006-10-20,9.49
2006-10-23,9.4275
2006-10-24,9.34
2006-10-25,9.33
2006-10-26,9.475
2006-10-27,9.395
2006-10-30,9.42
2006-10-31,9.34
2006-11-01,9.6425
2006-11-02,9.655
2006-11-03,9.545
2006-11-06,9.695
2006-11-07,9.7775
2006-11-08,9.9225
2006-11-09,10.2875
2006-11-10,10.775
2006-11-13,10.6925
2006-11-14,10.455
2006-11-15,10.8375
2006-11-16,11.2625
2006-11-17,11.35
2006-11-20,11.3175
2006-11-21,11.1675
2006-11-22,11.135
2006-11-24,11.0
2006-11-27,10.76
2006-11-28,10.75
2006-11-29,10.8125
2006-11-30,10.805
2006-12-01,10.7325
2006-12-04,10.91
2006-12-05,10.89
2006-12-06,11.1375
2006-12-07,11.025
2006-12-08,11.1525
2006-12-11,11.1725
2006-12-12,11.0525
2006-12-13,10.9775
2006-12-14,10.855
2006-12-15,10.8525
2006-12-18,10.4675
2006-12-19,10.25
2006-12-20,10.335
2006-12-21,10.2325
2006-12-22,10.335
2006-12-26,10.355
2006-12-27,10.26
2006-12-28,10.1
2006-12-29,10.0975
2007-01-03,10.1525
2007-01-04,10.1825
2007-01-05,10.115
2007-01-08,9.8375
2007-01-09,9.7625
2007-01-10,10.095
2007-01-11,10.22
2007-01-12,10.2875
2007-01-16,10.4175
2007-01-17,10.63
2007-01-18,10.505
2007-01-19,10.7175
2007-01-22,10.54
2007-01-23,10.59
2007-01-24,10.58
2007-01-25,10.495
2007-01-26,10.3925
2007-01-29,10.3325
2007-01-30,10.2775
2007-01-31,10.3925
2007-02-01,10.6075
2007-02-02,10.485
2007-02-05,10.225
2007-02-06,10.34
2007-02-07,10.3025
2007-02-08,10.1675
2007-02-09,9.9775
2007-02-12,9.91
2007-02-13,9.9125
2007-02-14,9.855
2007-02-15,9.895
2007-02-16,9.76
2007-02-20,9.7525
2007-02-21,9.735
2007-02-22,9.72
2007-02-23,9.7275
2007-02-26,9.655
2007-02-27,9.325
2007-02-28,9.22
2007-03-01,9.2575
2007-03-02,8.9825
2007-03-05,8.9425
2007-03-06,9.0725
2007-03-07,9.1425
2007-03-08,9.35
2007-03-09,9.27
2007-03-12,9.375
2007-03-13,9.07
2007-03-14,9.2525
2007-03-15,9.3425
2007-03-16,10.0375
2007-03-19,9.75
2007-03-20,9.84
2007-03-21,9.8225
2007-03-22,10.1375
2007-03-23,10.0175
2007-03-26,10.945
2007-03-27,10.87
2007-03-28,10.7925
2007-03-29,10.915
2007-03-30,10.81
2007-04-02,10.72
2007-04-03,10.8825
2007-04-04,10.955
2007-04-05,11.115
2007-04-09,11.005
2007-04-10,11.095
2007-04-11,11.0475
2007-04-12,11.14
2007-04-13,11.24
2007-04-16,11.2125
2007-04-17,10.9825
2007-04-18,10.895
2007-04-19,10.8525
2007-04-20,10.95
2007-04-23,10.9925
2007-04-24,10.87
2007-04-25,10.7325
2007-04-26,10.7525
2007-04-27,10.6375
2007-04-30,10.465
2007-05-01,10.6775
2007-05-02,10.895
2007-05-03,10.84
2007-05-04,11.4725
2007-05-07,11.5125
2007-05-08,11.8425
2007-05-09,12.0475
2007-05-10,11.56
2007-05-11,11.7625
2007-05-14,11.6725
2007-05-15,11.595
2007-05-16,11.675
2007-05-17,11.59
2007-05-18,11.8125
2007-05-21,11.9275
2007-05-22,11.8675
2007-05-23,11.8225
2007-05-24,11.745
2007-05-25,11.835
2007-05-29,11.7925
2007-05-30,12.11
2007-05-31,12.1425
2007-06-01,12.3025
2007-06-04,12.5325
2007-06-05,12.5
2007-06-06,12.34
2007-06-07,11.8925
2007-06-08,11.98
2007-06-11,11.7625
2007-06-12,11.6025
2007-06-13,11.725
2007-06-14,11.915
2007-06-15,12.1325
2007-06-18,11.9
2007-06-19,12.07
2007-06-20,11.675
2007-06-21,11.5825
2007-06-22,11.3325
2007-06-25,11.16
2007-06-26,11.0
2007-06-27,11.4375
2007-06-28,11.365
2007-06-29,11.265
2007-07-02,11.595
2007-07-03,11.67
2007-07-05,11.4825
2007-07-06,11.5475
2007-07-09,11.71
2007-07-10,11.9875
2007-07-11,11.915
2007-07-12,12.195
2007-07-13,12.5125
2007-07-16,12.3925
2007-07-17,12.4925
2007-07-18,12.7125
2007-07-19,12.8225
2007-07-20,12.625
2007-07-23,12.705
2007-07-24,12.42
2007-07-25,14.595
2007-07-26,14.295
2007-07-27,14.655
2007-07-30,14.8425
2007-07-31,14.54
2007-08-01,14.73
2007-08-02,15.2825
2007-08-03,15.32
2007-08-06,15.5025
2007-08-07,16.03
2007-08-08,16.2975
2007-08-09,16.2975
2007-08-10,15.49
2007-08-13,15.1825
2007-08-14,14.7575
2007-08-15,14.6925
2007-08-16,14.4775
2007-08-17,14.585
2007-08-20,14.555
2007-08-21,14.725
2007-08-22,14.8175
2007-08-23,14.5625
2007-08-24,14.7175
2007-08-27,14.4475
2007-08-28,14.0025
2007-08-29,14.6
2007-08-30,14.5875
2007-08-31,15.1175
2007-09-04,16.0375
2007-09-05,16.325
2007-09-06,16.2775
2007-09-07,16.2625
2007-09-10,16.215
2007-09-11,16.2725
2007-09-12,15.915
2007-09-13,15.8275
2007-09-14,15.4375
2007-09-17,15.38
2007-09-18,16.04
2007-09-19,16.2225
2007-09-20,15.915
2007-09-21,15.8475
2007-09-24,16.34
2007-09-25,16.54
2007-09-26,16.675
2007-09-27,16.37
2007-09-28,16.2875
2007-10-01,16.7075
2007-10-02,16.7775
2007-10-03,16.8775
2007-10-04,17.0775
2007-10-05,17.245
2007-10-08,17.6525
2007-10-09,17.75
2007-10-10,18.115
2007-10-11,17.69
2007-10-12,17.845
2007-10-15,17.23
2007-10-16,17.0075
2007-10-17,17.1225
2007-10-18,17.4475
2007-10-19,17.1025
2007-10-22,17.3525
2007-10-23,17.6625
2007-10-24,17.4875
2007-10-25,19.2825
2007-10-26,19.95
2007-10-29,19.6725
2007-10-30,19.22
2007-10-31,19.125
2007-11-01,18.8
